check,left_count,right_count,overlap_count,status,definition,overlap_examples
trainval_vs_development_exact_complex,2904,132,0,PASS,Exact complex identifier,
trainval_vs_development_pdb_receptor,2904,132,0,PASS,PDB accession/base receptor,
trainval_vs_development_exact_receptor_sequence,1741,87,22,REVIEW,SHA-256 of sorted canonical NA chain sequences; exact full-receptor match only,009a3155c2070b7e2bc7fe4b01041587c3baab2a9836a546f93403572b2f4f52;02c3cbf226c742175ba836f782092fe858d4984ed364706f0cf4ef97b5532975;09cfb981abad6cdaef9f43b6986d2955096744954998871f0f2c6428ab2cada4;58db505f184a91565608632ad7b68ea62e1f5e8fa94f6e6568b1c65ec33845e2;62323c120ef4e6e1100946fe9da2679696c92f3a209dd9fccf3d595860b87403;74587d4e5f92cb8e93340faef67356fa1592fa31850000046a6554e92de644d8;7f6472dc4f0dc3a6d2a6713e89cffc047deb661e197794e0d457df6ba17f25ad;8a39f41d423e18b52f5d41f0f9651ccd49dc4feea6b6e805cc393ce37c222311;906f4adcd19f023fc3637e68c9e0a9a2c6db48ec470dc65696e49c14872104ea;974f51da94729865209d77ea0328a5f6d9dcd2d165363cd1e56bbc9c795d2214
trainval_vs_jiang_exact_complex,2904,132,0,PASS,Exact complex identifier,
trainval_vs_jiang_pdb_receptor,2904,132,0,PASS,PDB accession/base receptor,
trainval_vs_jiang_exact_receptor_sequence,1741,87,22,REVIEW,SHA-256 of sorted canonical NA chain sequences; exact full-receptor match only,009a3155c2070b7e2bc7fe4b01041587c3baab2a9836a546f93403572b2f4f52;02c3cbf226c742175ba836f782092fe858d4984ed364706f0cf4ef97b5532975;09cfb981abad6cdaef9f43b6986d2955096744954998871f0f2c6428ab2cada4;58db505f184a91565608632ad7b68ea62e1f5e8fa94f6e6568b1c65ec33845e2;62323c120ef4e6e1100946fe9da2679696c92f3a209dd9fccf3d595860b87403;74587d4e5f92cb8e93340faef67356fa1592fa31850000046a6554e92de644d8;7f6472dc4f0dc3a6d2a6713e89cffc047deb661e197794e0d457df6ba17f25ad;8a39f41d423e18b52f5d41f0f9651ccd49dc4feea6b6e805cc393ce37c222311;906f4adcd19f023fc3637e68c9e0a9a2c6db48ec470dc65696e49c14872104ea;974f51da94729865209d77ea0328a5f6d9dcd2d165363cd1e56bbc9c795d2214
development_vs_jiang_exact_complex,132,132,21,REVIEW,Exact complex identifier,1cvy_ipy;1fjg_par;1g5k;1hnw_tac;1nyi;1u8d_hpa;1xbp_mul;1ykv;2g5q_akn;2g9c
development_vs_jiang_pdb_receptor,132,132,132,REVIEW,PDB accession/base receptor,1aju;1akx;1am0;1arj;1byj;1cvx;1cvy;1db6;1eht;1ei2
development_vs_jiang_exact_receptor_sequence,87,87,87,REVIEW,SHA-256 of sorted canonical NA chain sequences; exact full-receptor match only,009a3155c2070b7e2bc7fe4b01041587c3baab2a9836a546f93403572b2f4f52;02c3cbf226c742175ba836f782092fe858d4984ed364706f0cf4ef97b5532975;0403e8f7b6196ee689f5d95743874dbebb0aa337eff116ea2a4a2ed8dff8ef02;09cfb981abad6cdaef9f43b6986d2955096744954998871f0f2c6428ab2cada4;1776cbfdfb9f1636d206cbaccebc3c161d5c9e46aaa8b3dda272f812cb03f67e;18f65f680d64b4356dd91ecb3d72d6f292cf2c7d907385c4021fe5862a3d9244;19594f4777bf0adda9538ecb82110cff4f72a51c70c2727123d65e9a8f10e3bc;1ccdb442ac9953f399a35682ed71052d8a3d20363a56b6bf7701285f8895f938;23ed40a867d0a119bc7f8acf191de6d7ad27419c128b1e5f7c1f0cb772f356d2;28e4401839f830154454f3ae9e5fda9ae3a85615ee8db24351b6ec3eebb502ad
mdn_train_vs_development_exact_complex,1240,132,0,PASS,Exact complex identifier,
mdn_train_vs_development_pdb_receptor,868,132,0,PASS,PDB accession/base receptor,
mdn_train_vs_development_exact_receptor_sequence,499,87,18,REVIEW,SHA-256 of sorted canonical NA chain sequences; exact full-receptor match only,009a3155c2070b7e2bc7fe4b01041587c3baab2a9836a546f93403572b2f4f52;09cfb981abad6cdaef9f43b6986d2955096744954998871f0f2c6428ab2cada4;58db505f184a91565608632ad7b68ea62e1f5e8fa94f6e6568b1c65ec33845e2;62323c120ef4e6e1100946fe9da2679696c92f3a209dd9fccf3d595860b87403;74587d4e5f92cb8e93340faef67356fa1592fa31850000046a6554e92de644d8;7f6472dc4f0dc3a6d2a6713e89cffc047deb661e197794e0d457df6ba17f25ad;8a39f41d423e18b52f5d41f0f9651ccd49dc4feea6b6e805cc393ce37c222311;906f4adcd19f023fc3637e68c9e0a9a2c6db48ec470dc65696e49c14872104ea;974f51da94729865209d77ea0328a5f6d9dcd2d165363cd1e56bbc9c795d2214;9cc8a03e28fe3346ec00ae0cd78cd283a0982036c78efe136cc59b1d39146b8c
