method_id,method,benchmark_set,run_id,denominator,valid_complexes,top1_count,top1_pct,top3_count,top3_pct,top5_count,top5_pct,top10_count,top10_pct,top40_count,top40_pct
autodock_gpu,AutoDock-GPU,Yan,rep1,72,71,12,16.66666667,20,27.77777778,26,36.11111111,31,43.05555556,36,50
autodock_gpu,AutoDock-GPU,Philips,rep1,39,34,4,10.25641026,5,12.82051282,7,17.94871795,8,20.51282051,11,28.20512821
autodock_gpu,AutoDock-GPU,Chen,rep1,52,51,11,21.15384615,13,25,16,30.76923077,20,38.46153846,22,42.30769231
autodock_gpu,AutoDock-GPU,Ruiz,rep1,52,51,4,7.692307692,6,11.53846154,9,17.30769231,11,21.15384615,13,25
autodock_gpu,AutoDock-GPU,All128,rep1,128,122,20,15.625,31,24.21875,41,32.03125,49,38.28125,57,44.53125
autodock_gpu,AutoDock-GPU,Yan,rep2,72,71,10,13.88888889,22,30.55555556,28,38.88888889,31,43.05555556,37,51.38888889
autodock_gpu,AutoDock-GPU,Philips,rep2,39,34,3,7.692307692,4,10.25641026,6,15.38461538,9,23.07692308,13,33.33333333
autodock_gpu,AutoDock-GPU,Chen,rep2,52,51,7,13.46153846,10,19.23076923,12,23.07692308,17,32.69230769,25,48.07692308
autodock_gpu,AutoDock-GPU,Ruiz,rep2,52,51,2,3.846153846,4,7.692307692,6,11.53846154,9,17.30769231,15,28.84615385
autodock_gpu,AutoDock-GPU,All128,rep2,128,122,13,10.15625,29,22.65625,37,28.90625,45,35.15625,59,46.09375
autodock_gpu,AutoDock-GPU,Yan,rep3,72,71,10,13.88888889,24,33.33333333,25,34.72222222,32,44.44444444,40,55.55555556
autodock_gpu,AutoDock-GPU,Philips,rep3,39,34,2,5.128205128,2,5.128205128,4,10.25641026,7,17.94871795,11,28.20512821
autodock_gpu,AutoDock-GPU,Chen,rep3,52,51,5,9.615384615,6,11.53846154,11,21.15384615,17,32.69230769,23,44.23076923
autodock_gpu,AutoDock-GPU,Ruiz,rep3,52,51,2,3.846153846,3,5.769230769,5,9.615384615,9,17.30769231,12,23.07692308
autodock_gpu,AutoDock-GPU,All128,rep3,128,122,11,8.59375,26,20.3125,32,25,43,33.59375,59,46.09375
