method_id,method,benchmark_set,denominator,run_ids,valid_complexes_min,valid_complexes_max,top1_mean_pct,top1_sample_sd_pct,top1_counts,top3_mean_pct,top3_sample_sd_pct,top3_counts,top5_mean_pct,top5_sample_sd_pct,top5_counts,top10_mean_pct,top10_sample_sd_pct,top10_counts,top40_mean_pct,top40_sample_sd_pct,top40_counts
autodock_gpu,AutoDock-GPU,Yan,72,"rep1,rep2,rep3",71,71,14.81481481,1.603750748,"12,10,10",30.55555556,2.777777778,"20,22,24",36.57407407,2.121562822,"26,28,25",43.51851852,0.8018753739,"31,31,32",52.31481481,2.891202777,"36,37,40"
autodock_gpu,AutoDock-GPU,Philips,39,"rep1,rep2,rep3",34,34,7.692307692,2.564102564,"4,3,2",9.401709402,3.916731363,"5,4,2",14.52991453,3.916731363,"7,6,4",20.51282051,2.564102564,"8,9,7",29.91452991,2.960770611,"11,13,11"
autodock_gpu,AutoDock-GPU,Chen,52,"rep1,rep2,rep3",51,51,14.74358974,5.875097045,"11,7,5",18.58974359,6.753624201,"13,10,6",25,5.087983291,"16,12,11",34.61538462,3.330866938,"20,17,17",44.87179487,2.937548522,"22,25,23"
autodock_gpu,AutoDock-GPU,Ruiz,52,"rep1,rep2,rep3",51,51,5.128205128,2.220577958,"4,2,2",8.333333333,2.937548522,"6,4,3",12.82051282,4.003203845,"9,6,5",18.58974359,2.220577958,"11,9,9",25.64102564,2.937548522,"13,15,12"
autodock_gpu,AutoDock-GPU,All128,128,"rep1,rep2,rep3",122,122,11.45833333,3.692043458,"20,13,11",22.39583333,1.966102718,"31,29,26",28.64583333,3.522851369,"41,37,32",35.67708333,2.386758174,"49,45,43",45.57291667,0.9021097956,"57,59,59"
ledock,LeDock,Yan,72,"rep1,rep2,rep3",69,69,32.40740741,2.121562822,"22,25,23",41.2037037,2.891202777,"29,28,32",44.90740741,3.49529372,"32,30,35",50.46296296,2.121562822,"35,36,38",61.11111111,2.777777778,"42,46,44"
ledock,LeDock,Philips,39,"rep1,rep2,rep3",39,39,21.36752137,6.452849945,"6,11,8",30.76923077,6.783977721,"11,15,10",32.47863248,5.337605127,"12,15,11",36.75213675,3.916731363,"14,16,13",50.42735043,1.480385306,"20,20,19"
ledock,LeDock,Chen,52,"rep1,rep2,rep3",52,52,28.84615385,6.933752453,"16,18,11",37.17948718,5.875097045,"20,22,16",39.1025641,4.839637459,"20,23,18",41.66666667,4.839637459,"22,24,19",53.84615385,1.923076923,"28,29,27"
ledock,LeDock,Ruiz,52,"rep1,rep2,rep3",52,52,14.74358974,2.220577958,"7,9,7",23.07692308,5.769230769,"12,15,9",23.71794872,6.753624201,"12,16,9",28.84615385,6.933752453,"16,18,11",44.87179487,6.181827411,"22,27,21"
ledock,LeDock,All128,128,"rep1,rep2,rep3",125,125,28.64583333,2.743659831,"37,40,33",38.28125,1.5625,"49,51,47",41.92708333,0.9021097956,"53,55,53",46.875,2.066993212,"61,62,57",58.59375,2.706329387,"73,79,73"
rdock,rDock,Yan,72,"rep1,rep2,rep3",71,71,35.18518519,2.891202777,"23,27,26",40.74074074,3.207501495,"28,32,28",42.12962963,2.121562822,"30,32,29",44.44444444,2.405626122,"31,34,31",52.31481481,0.8018753739,"37,38,38"
rdock,rDock,Philips,39,"rep1,rep2,rep3",39,39,14.52991453,1.480385306,"5,6,6",17.09401709,2.960770611,"6,6,8",20.51282051,0,"8,8,8",24.78632479,1.480385306,"10,9,10",29.05982906,3.916731363,"13,10,11"
rdock,rDock,Chen,52,"rep1,rep2,rep3",52,52,28.20512821,2.220577958,"16,14,14",30.12820513,2.220577958,"17,15,15",33.33333333,4.839637459,"20,17,15",35.8974359,4.839637459,"21,19,16",41.66666667,4.839637459,"24,22,19"
rdock,rDock,Ruiz,52,"rep1,rep2,rep3",52,52,15.38461538,3.846153846,"8,10,6",17.30769231,3.846153846,"9,11,7",19.87179487,5.551444896,"12,12,7",23.07692308,5.087983291,"14,13,9",25.64102564,5.551444896,"15,15,10"
rdock,rDock,All128,128,"rep1,rep2,rep3",127,127,29.16666667,1.193379087,"37,39,36",33.33333333,1.966102718,"43,45,40",35.67708333,3.157384285,"48,48,41",38.80208333,2.511367386,"51,52,46",44.79166667,2.386758174,"60,58,54"
vina,AutoDock Vina,Yan,72,"rep1,rep2,rep3",62,63,29.16666667,1.388888889,"21,20,22",33.33333333,1.388888889,"24,23,25",37.5,1.388888889,"26,27,28",42.59259259,0.8018753739,"31,30,31",50.92592593,3.207501495,"34,38,38"
vina,AutoDock Vina,Philips,39,"rep1,rep2,rep3",29,30,14.52991453,3.916731363,"4,7,6",16.23931624,2.960770611,"5,7,7",18.8034188,5.337605127,"5,9,8",22.22222222,6.452849945,"6,9,11",29.05982906,5.337605127,"9,12,13"
vina,AutoDock Vina,Chen,52,"rep1,rep2,rep3",43,44,17.94871795,2.220577958,"10,10,8",24.35897436,1.110288979,"13,13,12",31.41025641,2.937548522,"16,18,15",35.8974359,2.220577958,"18,18,20",41.66666667,2.937548522,"20,22,23"
vina,AutoDock Vina,Ruiz,52,"rep1,rep2,rep3",36,38,10.8974359,1.110288979,"6,6,5",13.46153846,1.923076923,"8,6,7",15.38461538,0,"8,8,8",17.30769231,1.923076923,"8,9,10",20.51282051,2.937548522,"9,12,11"
vina,AutoDock Vina,All128,128,"rep1,rep2,rep3",105,107,23.17708333,0.4510548978,"30,29,30",28.38541667,1.193379087,"36,35,38",32.8125,2.066993212,"39,44,43",37.5,1.5625,"46,48,50",44.01041667,2.957764763,"52,59,58"
plants,PLANTS,Yan,72,"rep1,rep2,rep3",67,67,35.18518519,2.121562822,"24,25,27",42.59259259,0.8018753739,"31,31,30",44.44444444,1.388888889,"32,33,31",47.22222222,1.388888889,"33,34,35",50.92592593,2.121562822,"35,37,38"
plants,PLANTS,Philips,39,"rep1,rep2,rep3",33,33,19.65811966,3.916731363,"6,9,8",23.07692308,2.564102564,"8,10,9",24.78632479,1.480385306,"9,10,10",25.64102564,2.564102564,"9,11,10",27.35042735,1.480385306,"10,11,11"
plants,PLANTS,Chen,52,"rep1,rep2,rep3",49,49,30.76923077,3.846153846,"14,18,16",34.61538462,1.923076923,"17,19,18",37.17948718,2.937548522,"18,21,19",39.74358974,2.220577958,"20,22,20",41.66666667,1.110288979,"21,22,22"
