method_id,benchmark_set,endpoint,recomputed_pct,frozen_pct,absolute_difference_pp
autodock_gpu,Yan,top1,14.8148148148,14.8148148148,1.7763568394e-15
autodock_gpu,Yan,top5,36.5740740741,36.5740740741,7.1054273576e-15
autodock_gpu,Yan,top10,43.5185185185,43.5185185185,7.1054273576e-15
autodock_gpu,Yan,top40,52.3148148148,52.3148148148,0
autodock_gpu,Philips,top1,7.69230769231,7.69230769231,0
autodock_gpu,Philips,top5,14.5299145299,14.5299145299,0
autodock_gpu,Philips,top10,20.5128205128,20.5128205128,0
autodock_gpu,Philips,top40,29.9145299145,29.9145299145,3.5527136788e-15
autodock_gpu,Chen,top1,14.7435897436,14.7435897436,1.7763568394e-15
autodock_gpu,Chen,top5,25,25,0
autodock_gpu,Chen,top10,34.6153846154,34.6153846154,7.1054273576e-15
autodock_gpu,Chen,top40,44.8717948718,44.8717948718,1.42108547152e-14
autodock_gpu,Ruiz,top1,5.12820512821,5.12820512821,0
autodock_gpu,Ruiz,top5,12.8205128205,12.8205128205,0
autodock_gpu,Ruiz,top10,18.5897435897,18.5897435897,0
autodock_gpu,Ruiz,top40,25.641025641,25.641025641,0
autodock_gpu,All128,top1,11.4583333333,11.4583333333,0
autodock_gpu,All128,top5,28.6458333333,28.6458333333,0
autodock_gpu,All128,top10,35.6770833333,35.6770833333,0
autodock_gpu,All128,top40,45.5729166667,45.5729166667,0
ledock,Yan,top1,32.4074074074,32.4074074074,0
ledock,Yan,top5,44.9074074074,44.9074074074,7.1054273576e-15
ledock,Yan,top10,50.462962963,50.462962963,0
ledock,Yan,top40,61.1111111111,61.1111111111,0
ledock,Philips,top1,21.3675213675,21.3675213675,3.5527136788e-15
ledock,Philips,top5,32.4786324786,32.4786324786,0
ledock,Philips,top10,36.7521367521,36.7521367521,0
ledock,Philips,top40,50.4273504274,50.4273504274,0
ledock,Chen,top1,28.8461538462,28.8461538462,3.5527136788e-15
ledock,Chen,top5,39.1025641026,39.1025641026,0
ledock,Chen,top10,41.6666666667,41.6666666667,0
ledock,Chen,top40,53.8461538462,53.8461538462,0
ledock,Ruiz,top1,14.7435897436,14.7435897436,1.7763568394e-15
ledock,Ruiz,top5,23.7179487179,23.7179487179,0
ledock,Ruiz,top10,28.8461538462,28.8461538462,3.5527136788e-15
ledock,Ruiz,top40,44.8717948718,44.8717948718,0
ledock,All128,top1,28.6458333333,28.6458333333,0
ledock,All128,top5,41.9270833333,41.9270833333,0
ledock,All128,top10,46.875,46.875,0
ledock,All128,top40,58.59375,58.59375,0
rdock,Yan,top1,35.1851851852,35.1851851852,0
rdock,Yan,top5,42.1296296296,42.1296296296,0
rdock,Yan,top10,44.4444444444,44.4444444444,7.1054273576e-15
rdock,Yan,top40,52.3148148148,52.3148148148,7.1054273576e-15
rdock,Philips,top1,14.5299145299,14.5299145299,0
rdock,Philips,top5,20.5128205128,20.5128205128,0
rdock,Philips,top10,24.7863247863,24.7863247863,0
rdock,Philips,top40,29.0598290598,29.0598290598,0
rdock,Chen,top1,28.2051282051,28.2051282051,0
rdock,Chen,top5,33.3333333333,33.3333333333,0
rdock,Chen,top10,35.8974358974,35.8974358974,7.1054273576e-15
rdock,Chen,top40,41.6666666667,41.6666666667,0
rdock,Ruiz,top1,15.3846153846,15.3846153846,1.7763568394e-15
rdock,Ruiz,top5,19.8717948718,19.8717948718,0
rdock,Ruiz,top10,23.0769230769,23.0769230769,0
rdock,Ruiz,top40,25.641025641,25.641025641,0
rdock,All128,top1,29.1666666667,29.1666666667,0
rdock,All128,top5,35.6770833333,35.6770833333,0
rdock,All128,top10,38.8020833333,38.8020833333,0
rdock,All128,top40,44.7916666667,44.7916666667,0
vina,Yan,top1,29.1666666667,29.1666666667,0
vina,Yan,top5,37.5,37.5,0
vina,Yan,top10,42.5925925926,42.5925925926,0
vina,Yan,top40,50.9259259259,50.9259259259,7.1054273576e-15
vina,Philips,top1,14.5299145299,14.5299145299,0
vina,Philips,top5,18.8034188034,18.8034188034,0
vina,Philips,top10,22.2222222222,22.2222222222,3.5527136788e-15
vina,Philips,top40,29.0598290598,29.0598290598,0
vina,Chen,top1,17.9487179487,17.9487179487,0
vina,Chen,top5,31.4102564103,31.4102564103,0
vina,Chen,top10,35.8974358974,35.8974358974,7.1054273576e-15
vina,Chen,top40,41.6666666667,41.6666666667,0
vina,Ruiz,top1,10.8974358974,10.8974358974,0
vina,Ruiz,top5,15.3846153846,15.3846153846,1.7763568394e-15
vina,Ruiz,top10,17.3076923077,17.3076923077,0
vina,Ruiz,top40,20.5128205128,20.5128205128,3.5527136788e-15
vina,All128,top1,23.1770833333,23.1770833333,0
vina,All128,top5,32.8125,32.8125,0
vina,All128,top10,37.5,37.5,0
vina,All128,top40,44.0104166667,44.0104166667,0
plants,Yan,top1,35.1851851852,35.1851851852,0
plants,Yan,top5,44.4444444444,44.4444444444,7.1054273576e-15
plants,Yan,top10,47.2222222222,47.2222222222,7.1054273576e-15
plants,Yan,top40,50.9259259259,50.9259259259,7.1054273576e-15
plants,Philips,top1,19.6581196581,19.6581196581,0
plants,Philips,top5,24.7863247863,24.7863247863,0
plants,Philips,top10,25.641025641,25.641025641,7.1054273576e-15
plants,Philips,top40,27.3504273504,27.3504273504,0
plants,Chen,top1,30.7692307692,30.7692307692,0
plants,Chen,top5,37.1794871795,37.1794871795,0
plants,Chen,top10,39.7435897436,39.7435897436,0
plants,Chen,top40,41.6666666667,41.6666666667,0
plants,Ruiz,top1,13.4615384615,13.4615384615,0
plants,Ruiz,top5,20.5128205128,20.5128205128,3.5527136788e-15
plants,Ruiz,top10,21.1538461538,21.1538461538,0
plants,Ruiz,top40,23.7179487179,23.7179487179,0
plants,All128,top1,28.6458333333,28.6458333333,0
plants,All128,top5,36.71875,36.71875,0
plants,All128,top10,38.8020833333,38.8020833333,0
plants,All128,top40,41.9270833333,41.9270833333,0
surfna,Yan,top1,53.7037037037,53.7037037037,0
surfna,Yan,top5,63.8888888889,63.8888888889,0
surfna,Yan,top10,67.5925925926,67.5925925926,0
surfna,Yan,top40,72.6851851852,72.6851851852,1.42108547152e-14
surfna,Philips,top1,45.2991452991,45.2991452991,0
surfna,Philips,top5,58.1196581197,58.1196581197,0
surfna,Philips,top10,63.2478632479,63.2478632479,0
surfna,Philips,top40,68.3760683761,68.3760683761,0
surfna,Chen,top1,50,50,0
surfna,Chen,top5,67.9487179487,67.9487179487,0
surfna,Chen,top10,71.7948717949,71.7948717949,1.42108547152e-14
surfna,Chen,top40,76.2820512821,76.2820512821,0
surfna,Ruiz,top1,43.5897435897,43.5897435897,0
surfna,Ruiz,top5,57.6923076923,57.6923076923,7.1054273576e-15
surfna,Ruiz,top10,61.5384615385,61.5384615385,0
surfna,Ruiz,top40,66.0256410256,66.0256410256,0
surfna,All128,top1,49.21875,49.21875,0
surfna,All128,top5,63.8020833333,63.8020833333,0
surfna,All128,top10,67.96875,67.96875,0
surfna,All128,top40,73.1770833333,73.1770833333,0
