benchmark_set	population	reference_method	comparator_method	metric	higher_is_better	n_complexes	n_paired_contributing	estimate_reference_minus_comparator	ci95_reference_minus_comparator_low	ci95_reference_minus_comparator_high	estimate_favorable_to_reference	ci95_favorable_low	ci95_favorable_high	bootstrap_draws_requested	bootstrap_draws_defined	bootstrap_seed
All128	full	SurfNA-scorer0	AutoDock-Vina-1.2.7	top1_success_rate	True	128	128	0.1484375	0.0546875	0.2421875	0.1484375	0.0546875	0.2421875	10000	10000	20260906
All128	full	SurfNA-scorer0	AutoDock-Vina-1.2.7	top3_success_rate	True	128	128	0.0859375	0.015625	0.15625	0.0859375	0.015625	0.15625	10000	10000	20260906
All128	full	SurfNA-scorer0	AutoDock-Vina-1.2.7	top5_success_rate	True	128	128	0.0390625	-0.0234375	0.109375	0.0390625	-0.0234375	0.109375	10000	10000	20260906
All128	full	SurfNA-scorer0	AutoDock-Vina-1.2.7	mrr_first_lt2	True	128	128	0.10577267661022256	0.040344905925960614	0.17199095731147088	0.10577267661022256	0.040344905925960614	0.17199095731147088	10000	10000	20260906
All128	full	SurfNA-scorer0	AutoDock-Vina-1.2.7	ndcg_at_10	True	128	128	0.10121314713714394	0.05861493185984501	0.14370976587342804	0.10121314713714394	0.05861493185984501	0.14370976587342804	10000	10000	20260906
All128	full	SurfNA-scorer0	AutoDock-Vina-1.2.7	mean_regret_A_scored	False	128	126	-0.8541131034817863	-1.394046937678035	-0.36544697838190404	0.8541131034817863	0.365446978381904	1.3940469376780347	10000	10000	20260906
All128	full	SurfNA-scorer0	AutoDock-Vina-1.2.7	complex_failure_rate	False	128	128	-0.015625	-0.0390625	0.0	0.015625	-0.0	0.0390625	10000	10000	20260906
All128	full	SurfNA-scorer0	AutoDock-Vina-1.2.7	pose_score_failure_rate	False	128	128	-0.0224609375	-0.04687988281250001	-0.004882812500000002	0.0224609375	0.004882812500000002	0.04687988281249994	10000	10000	20260906
All128	full	SurfNA-scorer0	PLANTS-CHEMPLP-1.2	top1_success_rate	True	128	128	0.109375	0.0234375	0.1953125	0.109375	0.0234375	0.1953125	10000	10000	20260906
All128	full	SurfNA-scorer0	PLANTS-CHEMPLP-1.2	top3_success_rate	True	128	128	0.09375	0.0234375	0.1640625	0.09375	0.0234375	0.1640625	10000	10000	20260906
All128	full	SurfNA-scorer0	PLANTS-CHEMPLP-1.2	top5_success_rate	True	128	128	0.046875	-0.0234375	0.1171875	0.046875	-0.0234375	0.1171875	10000	10000	20260906
All128	full	SurfNA-scorer0	PLANTS-CHEMPLP-1.2	mrr_first_lt2	True	128	128	0.09679427602796169	0.029544958855907858	0.16521037565227015	0.09679427602796169	0.029544958855907858	0.16521037565227015	10000	10000	20260906
All128	full	SurfNA-scorer0	PLANTS-CHEMPLP-1.2	ndcg_at_10	True	128	128	0.1356656743875667	0.08083565017597749	0.19187748628121248	0.1356656743875667	0.08083565017597749	0.19187748628121248	10000	10000	20260906
All128	full	SurfNA-scorer0	PLANTS-CHEMPLP-1.2	mean_regret_A_scored	False	128	115	-0.22860526067359926	-0.6849899633327049	0.20725266719511995	0.22860526067359926	-0.20725266719512	0.6849899633327046	10000	10000	20260906
All128	full	SurfNA-scorer0	PLANTS-CHEMPLP-1.2	complex_failure_rate	False	128	128	-0.1015625	-0.15625	-0.0546875	0.1015625	0.0546875	0.15625	10000	10000	20260906
All128	full	SurfNA-scorer0	PLANTS-CHEMPLP-1.2	pose_score_failure_rate	False	128	128	-0.1015625	-0.15625	-0.0546875	0.1015625	0.0546875	0.15625	10000	10000	20260906
All128	full	SurfNA-scorer0	rDock-26.05-alpha	top1_success_rate	True	128	128	0.125	0.0390625	0.2109375	0.125	0.0390625	0.2109375	10000	10000	20260906
All128	full	SurfNA-scorer0	rDock-26.05-alpha	top3_success_rate	True	128	128	0.0859375	0.015625	0.15625	0.0859375	0.015625	0.15625	10000	10000	20260906
All128	full	SurfNA-scorer0	rDock-26.05-alpha	top5_success_rate	True	128	128	0.0390625	-0.015625	0.1015625	0.0390625	-0.015625	0.1015625	10000	10000	20260906
All128	full	SurfNA-scorer0	rDock-26.05-alpha	mrr_first_lt2	True	128	128	0.08945183585538038	0.028864705092291408	0.15151771372307907	0.08945183585538038	0.028864705092291408	0.15151771372307907	10000	10000	20260906
All128	full	SurfNA-scorer0	rDock-26.05-alpha	ndcg_at_10	True	128	128	0.0970138670504237	0.04988658742503931	0.14559805623679561	0.0970138670504237	0.04988658742503931	0.14559805623679561	10000	10000	20260906
All128	full	SurfNA-scorer0	rDock-26.05-alpha	mean_regret_A_scored	False	128	124	-0.8166777248805195	-1.387844271647546	-0.28014206371351236	0.8166777248805195	0.2801420637135123	1.3878442716475459	10000	10000	20260906
All128	full	SurfNA-scorer0	rDock-26.05-alpha	complex_failure_rate	False	128	128	-0.03125	-0.0625	-0.0078125	0.03125	0.0078125	0.0625	10000	10000	20260906
All128	full	SurfNA-scorer0	rDock-26.05-alpha	pose_score_failure_rate	False	128	128	-0.03125	-0.0625	-0.0078125	0.03125	0.0078125	0.0625	10000	10000	20260906
All128	rankable_lt2	SurfNA-scorer0	AutoDock-Vina-1.2.7	top1_success_rate	True	92	92	0.20652173913043478	0.07608695652173914	0.33695652173913043	0.20652173913043478	0.07608695652173914	0.33695652173913043	10000	10000	20260907
All128	rankable_lt2	SurfNA-scorer0	AutoDock-Vina-1.2.7	top3_success_rate	True	92	92	0.11956521739130435	0.03260869565217391	0.21739130434782608	0.11956521739130435	0.03260869565217391	0.21739130434782608	10000	10000	20260907
All128	rankable_lt2	SurfNA-scorer0	AutoDock-Vina-1.2.7	top5_success_rate	True	92	92	0.05434782608695652	-0.03260869565217391	0.14130434782608695	0.05434782608695652	-0.03260869565217391	0.14130434782608695	10000	10000	20260907
All128	rankable_lt2	SurfNA-scorer0	AutoDock-Vina-1.2.7	mrr_first_lt2	True	92	92	0.1471619848490053	0.05936201625467929	0.23826568549026989	0.1471619848490053	0.05936201625467929	0.23826568549026989	10000	10000	20260907
All128	rankable_lt2	SurfNA-scorer0	AutoDock-Vina-1.2.7	ndcg_at_10	True	92	92	0.12984194405410834	0.07970270854443472	0.18219434938346016	0.12984194405410834	0.07970270854443472	0.18219434938346016	10000	10000	20260907
All128	rankable_lt2	SurfNA-scorer0	AutoDock-Vina-1.2.7	mean_regret_A_scored	False	92	90	-1.1593710283244976	-1.8148816591628278	-0.5651382480915308	1.1593710283244976	0.5651382480915306	1.8148816591628278	10000	10000	20260907
All128	rankable_lt2	SurfNA-scorer0	AutoDock-Vina-1.2.7	complex_failure_rate	False	92	92	-0.021739130434782608	-0.05434782608695652	0.0	0.021739130434782608	-0.0	0.05434782608695652	10000	10000	20260907
All128	rankable_lt2	SurfNA-scorer0	AutoDock-Vina-1.2.7	pose_score_failure_rate	False	92	92	-0.02608695652173913	-0.05951086956521739	-0.003260869565217391	0.02608695652173913	0.0032608695652173907	0.05951086956521739	10000	10000	20260907
All128	rankable_lt2	SurfNA-scorer0	PLANTS-CHEMPLP-1.2	top1_success_rate	True	92	92	0.15217391304347827	0.03260869565217391	0.2717391304347826	0.15217391304347827	0.03260869565217391	0.2717391304347826	10000	10000	20260907
All128	rankable_lt2	SurfNA-scorer0	PLANTS-CHEMPLP-1.2	top3_success_rate	True	92	92	0.13043478260869565	0.03260869565217391	0.22826086956521738	0.13043478260869565	0.03260869565217391	0.22826086956521738	10000	10000	20260907
All128	rankable_lt2	SurfNA-scorer0	PLANTS-CHEMPLP-1.2	top5_success_rate	True	92	92	0.06521739130434782	-0.021739130434782608	0.16304347826086957	0.06521739130434782	-0.021739130434782608	0.16304347826086957	10000	10000	20260907
All128	rankable_lt2	SurfNA-scorer0	PLANTS-CHEMPLP-1.2	mrr_first_lt2	True	92	92	0.13467029708238148	0.042059835433996225	0.22995012883979474	0.13467029708238148	0.042059835433996225	0.22995012883979474	10000	10000	20260907
All128	rankable_lt2	SurfNA-scorer0	PLANTS-CHEMPLP-1.2	ndcg_at_10	True	92	92	0.14080369204450807	0.0775997699364553	0.20593041580795537	0.14080369204450807	0.0775997699364553	0.20593041580795537	10000	10000	20260907
All128	rankable_lt2	SurfNA-scorer0	PLANTS-CHEMPLP-1.2	mean_regret_A_scored	False	92	84	-0.49399742410540526	-0.9979202173912496	-0.04007357024791811	0.49399742410540526	0.040073570247918	0.9979202173912496	10000	10000	20260907
All128	rankable_lt2	SurfNA-scorer0	PLANTS-CHEMPLP-1.2	complex_failure_rate	False	92	92	-0.08695652173913043	-0.15217391304347827	-0.03260869565217391	0.08695652173913043	0.03260869565217391	0.15217391304347827	10000	10000	20260907
All128	rankable_lt2	SurfNA-scorer0	PLANTS-CHEMPLP-1.2	pose_score_failure_rate	False	92	92	-0.08695652173913043	-0.15217391304347827	-0.03260869565217391	0.08695652173913043	0.03260869565217391	0.15217391304347827	10000	10000	20260907
All128	rankable_lt2	SurfNA-scorer0	rDock-26.05-alpha	top1_success_rate	True	92	92	0.17391304347826086	0.05434782608695652	0.29347826086956524	0.17391304347826086	0.05434782608695652	0.29347826086956524	10000	10000	20260907
All128	rankable_lt2	SurfNA-scorer0	rDock-26.05-alpha	top3_success_rate	True	92	92	0.11956521739130435	0.03260869565217391	0.21739130434782608	0.11956521739130435	0.03260869565217391	0.21739130434782608	10000	10000	20260907
All128	rankable_lt2	SurfNA-scorer0	rDock-26.05-alpha	top5_success_rate	True	92	92	0.05434782608695652	-0.021739130434782608	0.13043478260869565	0.05434782608695652	-0.021739130434782608	0.13043478260869565	10000	10000	20260907
All128	rankable_lt2	SurfNA-scorer0	rDock-26.05-alpha	mrr_first_lt2	True	92	92	0.12445472814661619	0.039974063130697284	0.21014402861773254	0.12445472814661619	0.039974063130697284	0.21014402861773254	10000	10000	20260907
All128	rankable_lt2	SurfNA-scorer0	rDock-26.05-alpha	ndcg_at_10	True	92	92	0.09910880920788928	0.04642038635977055	0.15350242244722925	0.09910880920788928	0.04642038635977055	0.15350242244722925	10000	10000	20260907
All128	rankable_lt2	SurfNA-scorer0	rDock-26.05-alpha	mean_regret_A_scored	False	92	91	-1.2816355492515978	-1.9670122492011928	-0.6695044120849171	1.2816355492515978	0.6695044120849172	1.967012249201193	10000	10000	20260907
All128	rankable_lt2	SurfNA-scorer0	rDock-26.05-alpha	complex_failure_rate	False	92	92	-0.010869565217391304	-0.03260869565217391	0.0	0.010869565217391304	-0.0	0.03260869565217391	10000	10000	20260907
All128	rankable_lt2	SurfNA-scorer0	rDock-26.05-alpha	pose_score_failure_rate	False	92	92	-0.010869565217391304	-0.03260869565217391	0.0	0.010869565217391304	-0.0	0.03260869565217391	10000	10000	20260907
Yan72	full	SurfNA-scorer0	AutoDock-Vina-1.2.7	top1_success_rate	True	72	72	0.18055555555555555	0.06944444444444445	0.2916666666666667	0.18055555555555555	0.06944444444444445	0.2916666666666667	10000	10000	20261006
Yan72	full	SurfNA-scorer0	AutoDock-Vina-1.2.7	top3_success_rate	True	72	72	0.06944444444444445	-0.013888888888888888	0.1527777777777778	0.06944444444444445	-0.013888888888888888	0.1527777777777778	10000	10000	20261006
Yan72	full	SurfNA-scorer0	AutoDock-Vina-1.2.7	top5_success_rate	True	72	72	0.013888888888888888	-0.06944444444444445	0.09722222222222222	0.013888888888888888	-0.06944444444444445	0.09722222222222222	10000	10000	20261006
Yan72	full	SurfNA-scorer0	AutoDock-Vina-1.2.7	mrr_first_lt2	True	72	72	0.11937784218625722	0.04289784204576893	0.19873945554301972	0.11937784218625722	0.04289784204576893	0.19873945554301972	10000	10000	20261006
Yan72	full	SurfNA-scorer0	AutoDock-Vina-1.2.7	ndcg_at_10	True	72	72	0.09296854866057282	0.04141624693431541	0.1463913697752582	0.09296854866057282	0.04141624693431541	0.1463913697752582	10000	10000	20261006
Yan72	full	SurfNA-scorer0	AutoDock-Vina-1.2.7	mean_regret_A_scored	False	72	71	-1.0184137441872823	-1.7897118637611584	-0.324746353821858	1.0184137441872823	0.32474635382185796	1.7897118637611582	10000	10000	20261006
Yan72	full	SurfNA-scorer0	AutoDock-Vina-1.2.7	complex_failure_rate	False	72	72	-0.013888888888888888	-0.041666666666666664	0.0	0.013888888888888888	-0.0	0.041666666666666664	10000	10000	20261006
Yan72	full	SurfNA-scorer0	AutoDock-Vina-1.2.7	pose_score_failure_rate	False	72	72	-0.025	-0.05729166666666666	-0.00625	0.025	0.00625	0.05729166666666666	10000	10000	20261006
Yan72	full	SurfNA-scorer0	PLANTS-CHEMPLP-1.2	top1_success_rate	True	72	72	0.1111111111111111	0.0	0.2222222222222222	0.1111111111111111	0.0	0.2222222222222222	10000	10000	20261006
Yan72	full	SurfNA-scorer0	PLANTS-CHEMPLP-1.2	top3_success_rate	True	72	72	0.09722222222222222	0.0	0.19444444444444445	0.09722222222222222	0.0	0.19444444444444445	10000	10000	20261006
