benchmark_set	population	method	metric	higher_is_better	n_complexes	n_contributing	estimate	ci95_low	ci95_high	bootstrap_draws_requested	bootstrap_draws_defined	bootstrap_seed
All128	full	AutoDock-Vina-1.2.7	top1_success_rate	True	128	128	0.375	0.296875	0.4609375	10000	10000	20260906
All128	full	AutoDock-Vina-1.2.7	top3_success_rate	True	128	128	0.53125	0.4453125	0.6171875	10000	10000	20260906
All128	full	AutoDock-Vina-1.2.7	top5_success_rate	True	128	128	0.578125	0.4921875	0.6640625	10000	10000	20260906
All128	full	AutoDock-Vina-1.2.7	mrr_first_lt2	True	128	128	0.470166817200365	0.3950777138506919	0.5467762374599462	10000	10000	20260906
All128	full	AutoDock-Vina-1.2.7	ndcg_at_10	True	128	128	0.643319031104685	0.5963903787831298	0.6895152900616799	10000	10000	20260906
All128	full	AutoDock-Vina-1.2.7	mean_regret_A_scored	False	128	126	2.0206665357290006	1.5806860192120897	2.52130322451469	10000	10000	20260906
All128	full	AutoDock-Vina-1.2.7	complex_failure_rate	False	128	128	0.015625	0.0	0.0390625	10000	10000	20260906
All128	full	AutoDock-Vina-1.2.7	pose_score_failure_rate	False	128	128	0.0224609375	0.004882812500000002	0.04687988281249994	10000	10000	20260906
All128	full	PLANTS-CHEMPLP-1.2	top1_success_rate	True	128	128	0.4140625	0.328125	0.5	10000	10000	20260906
All128	full	PLANTS-CHEMPLP-1.2	top3_success_rate	True	128	128	0.5234375	0.4375	0.609375	10000	10000	20260906
All128	full	PLANTS-CHEMPLP-1.2	top5_success_rate	True	128	128	0.5703125	0.484375	0.65625	10000	10000	20260906
All128	full	PLANTS-CHEMPLP-1.2	mrr_first_lt2	True	128	128	0.47914521778262587	0.4005764706724037	0.5586431879943484	10000	10000	20260906
All128	full	PLANTS-CHEMPLP-1.2	ndcg_at_10	True	128	128	0.6088665038542623	0.5534956860356326	0.6652715267043254	10000	10000	20260906
All128	full	PLANTS-CHEMPLP-1.2	mean_regret_A_scored	False	128	115	1.4566923232902218	1.072401622221354	1.872102184901389	10000	10000	20260906
All128	full	PLANTS-CHEMPLP-1.2	complex_failure_rate	False	128	128	0.1015625	0.0546875	0.15625	10000	10000	20260906
All128	full	PLANTS-CHEMPLP-1.2	pose_score_failure_rate	False	128	128	0.1015625	0.0546875	0.15625	10000	10000	20260906
All128	full	SurfNA-scorer0	top1_success_rate	True	128	128	0.5234375	0.4375	0.609375	10000	10000	20260906
All128	full	SurfNA-scorer0	top3_success_rate	True	128	128	0.6171875	0.53125	0.703125	10000	10000	20260906
All128	full	SurfNA-scorer0	top5_success_rate	True	128	128	0.6171875	0.53125	0.703125	10000	10000	20260906
All128	full	SurfNA-scorer0	mrr_first_lt2	True	128	128	0.5759394938105875	0.4953607384369104	0.6560155733300265	10000	10000	20260906
All128	full	SurfNA-scorer0	ndcg_at_10	True	128	128	0.7445321782418289	0.700683996891076	0.7848626732804957	10000	10000	20260906
All128	full	SurfNA-scorer0	mean_regret_A_scored	False	128	128	1.1493592584037746	0.8498232327841272	1.4775867166889298	10000	10000	20260906
All128	full	SurfNA-scorer0	complex_failure_rate	False	128	128	0.0	0.0	0.0	10000	10000	20260906
All128	full	SurfNA-scorer0	pose_score_failure_rate	False	128	128	0.0	0.0	0.0	10000	10000	20260906
All128	full	rDock-26.05-alpha	top1_success_rate	True	128	128	0.3984375	0.3203125	0.484375	10000	10000	20260906
All128	full	rDock-26.05-alpha	top3_success_rate	True	128	128	0.53125	0.4453125	0.6171875	10000	10000	20260906
