benchmark_set	population	method	n_complexes	poses_per_complex	n_pose_slots	top1_success_count	top1_success_pct	top1_ci95_low_pct	top1_ci95_high_pct	top3_success_count	top3_success_pct	top3_ci95_low_pct	top3_ci95_high_pct	top5_success_count	top5_success_pct	top5_ci95_low_pct	top5_ci95_high_pct	mrr	mrr_ci95_low	mrr_ci95_high	mrr_n_contributing	ndcg_at_10	ndcg_at_10_ci95_low	ndcg_at_10_ci95_high	ndcg_at_10_n_contributing	mean_regret_A_scored	mean_regret_A_scored_ci95_low	mean_regret_A_scored_ci95_high	mean_regret_A_scored_n_contributing	complex_failure_count	complex_failure_pct	complex_failure_ci95_low_pct	complex_failure_ci95_high_pct	pose_score_failure_count	pose_score_valid_count	pose_score_failure_pct	pose_score_failure_ci95_low_pct	pose_score_failure_ci95_high_pct	ci_method
All128	full	SurfNA-scorer0	128	40	5120	67	52.34375	43.75	60.9375	79	61.71875	53.125	70.3125	79	61.71875	53.125	70.3125	0.5759394938105875	0.4953607384369104	0.6560155733300265	128	0.7445321782418289	0.700683996891076	0.7848626732804957	128	1.1493592584037746	0.8498232327841272	1.4775867166889298	128	0	0.0	0.0	0.0	0	5120	0.0	0.0	0.0	accepted_shared_complex_bootstrap_percentile_10000
All128	full	AutoDock-Vina-1.2.7	128	40	5120	48	37.5	29.6875	46.09375	68	53.125	44.53125	61.71875	74	57.8125	49.21875	66.40625	0.470166817200365	0.3950777138506919	0.5467762374599462	128	0.643319031104685	0.5963903787831298	0.6895152900616799	128	2.0206665357290006	1.5806860192120897	2.52130322451469	126	2	1.5625	0.0	3.90625	115	5005	2.24609375	0.48828125000000017	4.687988281249994	accepted_shared_complex_bootstrap_percentile_10000
All128	full	rDock-26.05-alpha	128	40	5120	51	39.84375	32.03125	48.4375	68	53.125	44.53125	61.71875	74	57.8125	49.21875	66.40625	0.48648765795520715	0.4122812442447299	0.5644450611505805	128	0.6475183111914052	0.5950769849847779	0.699178970741464	128	1.9797638151103496	1.509992317354726	2.494098662299118	124	4	3.125	0.78125	6.25	160	4960	3.125	0.78125	6.25	accepted_shared_complex_bootstrap_percentile_10000
All128	full	PLANTS-CHEMPLP-1.2	128	40	5120	53	41.40625	32.8125	50.0	67	52.34375	43.75	60.9375	73	57.03125	48.4375	65.625	0.47914521778262587	0.4005764706724037	0.5586431879943484	128	0.6088665038542623	0.5534956860356326	0.6652715267043254	128	1.4566923232902218	1.072401622221354	1.872102184901389	115	13	10.15625	5.46875	15.625	520	4600	10.15625	5.46875	15.625	accepted_shared_complex_bootstrap_percentile_10000
All128	rankable_lt2	SurfNA-scorer0	92	40	3680	67	72.82608695652173	63.04347826086957	81.52173913043478	79	85.86956521739131	78.26086956521739	92.3913043478261	79	85.86956521739131	78.26086956521739	92.3913043478261	0.8013071218234261	0.729517878709455	0.8685317672715771	92	0.7906073608632901	0.7500117254451849	0.8297487035965049	92	0.6868532451016819	0.4560280247880096	0.9484219557975185	92	0	0.0	0.0	0.0	0	3680	0.0	0.0	0.0	accepted_shared_complex_bootstrap_percentile_10000
All128	rankable_lt2	AutoDock-Vina-1.2.7	92	40	3680	48	52.17391304347826	41.30434782608695	61.95652173913043	68	73.91304347826086	64.13043478260869	82.6086956521739	74	80.43478260869566	71.73913043478261	88.04347826086956	0.6541451369744209	0.5745713968558439	0.7304724510357505	92	0.6607654168091818	0.6107340804538978	0.7105150826940665	92	1.8600182054002816	1.3158356193529661	2.466369842978225	90	2	2.1739130434782608	0.0	5.434782608695652	96	3584	2.608695652173913	0.3260869565217391	5.951086956521738	accepted_shared_complex_bootstrap_percentile_10000
All128	rankable_lt2	rDock-26.05-alpha	92	40	3680	51	55.434782608695656	45.65217391304348	65.21739130434783	68	73.91304347826086	65.21739130434783	82.6086956521739	74	80.43478260869566	71.73913043478261	88.04347826086956	0.6768523936768099	0.5977376041035084	0.7531931631757425	92	0.6914985516554009	0.63753753394574	0.7428571332331897	92	1.9609156684462188	1.3816686171547399	2.6116292786625945	91	1	1.0869565217391304	0.0	3.260869565217391	40	3640	1.0869565217391304	0.0	3.260869565217391	accepted_shared_complex_bootstrap_percentile_10000
All128	rankable_lt2	PLANTS-CHEMPLP-1.2	92	40	3680	53	57.608695652173914	47.82608695652174	67.3913043478261	67	72.82608695652173	64.13043478260869	81.52173913043478	73	79.34782608695652	70.65217391304348	86.95652173913044	0.6666368247410447	0.5836686114663258	0.7484512479741061	92	0.649803668818782	0.5872248082545781	0.7108966654291504	92	1.2231749214607386	0.7933014483061424	1.688156221857828	84	8	8.695652173913043	3.260869565217391	15.217391304347828	320	3360	8.695652173913043	3.260869565217391	15.217391304347828	accepted_shared_complex_bootstrap_percentile_10000
Yan72	full	SurfNA-scorer0	72	40	2880	42	58.333333333333336	47.22222222222222	69.44444444444444	46	63.888888888888886	52.77777777777778	75.0	46	63.888888888888886	52.77777777777778	75.0	0.6185672031158141	0.5104333618092298	0.7227643435846561	72	0.7683992086529963	0.7119459466663789	0.8193750238642613	72	1.0795361031054438	0.6896091493752529	1.5266538653351454	72	0	0.0	0.0	0.0	0	2880	0.0	0.0	0.0	accepted_shared_complex_bootstrap_percentile_10000
Yan72	full	AutoDock-Vina-1.2.7	72	40	2880	29	40.27777777777778	29.166666666666668	51.388888888888886	41	56.94444444444444	45.83333333333333	68.05555555555556	45	62.5	51.388888888888886	73.61111111111111	0.499189360929557	0.3995972903050109	0.5979513888888888	72	0.6754306599924235	0.6118037527272108	0.7359901401827886	72	2.111291868286688	1.4470308243822887	2.871923386377989	71	1	1.3888888888888888	0.0	4.166666666666666	72	2808	2.5	0.625	5.729166666666666	accepted_shared_complex_bootstrap_percentile_10000
