benchmark_set	population	method	top_n	n_complexes	success_count	success_rate	success_pct	complex_failure_count	invalid_pose_count	ranking_policy
All128	full	SurfNA-scorer0	1	128	67	0.5234375	52.34375	0	0	valid_score_ascending_then_invalid_then_pose_ordinal_ascending;whole_failure_zero
All128	full	SurfNA-scorer0	2	128	76	0.59375	59.375	0	0	valid_score_ascending_then_invalid_then_pose_ordinal_ascending;whole_failure_zero
All128	full	SurfNA-scorer0	3	128	79	0.6171875	61.71875	0	0	valid_score_ascending_then_invalid_then_pose_ordinal_ascending;whole_failure_zero
All128	full	SurfNA-scorer0	4	128	79	0.6171875	61.71875	0	0	valid_score_ascending_then_invalid_then_pose_ordinal_ascending;whole_failure_zero
All128	full	SurfNA-scorer0	5	128	79	0.6171875	61.71875	0	0	valid_score_ascending_then_invalid_then_pose_ordinal_ascending;whole_failure_zero
All128	full	SurfNA-scorer0	6	128	80	0.625	62.5	0	0	valid_score_ascending_then_invalid_then_pose_ordinal_ascending;whole_failure_zero
All128	full	SurfNA-scorer0	7	128	82	0.640625	64.0625	0	0	valid_score_ascending_then_invalid_then_pose_ordinal_ascending;whole_failure_zero
All128	full	SurfNA-scorer0	8	128	82	0.640625	64.0625	0	0	valid_score_ascending_then_invalid_then_pose_ordinal_ascending;whole_failure_zero
All128	full	SurfNA-scorer0	9	128	83	0.6484375	64.84375	0	0	valid_score_ascending_then_invalid_then_pose_ordinal_ascending;whole_failure_zero
All128	full	SurfNA-scorer0	10	128	86	0.671875	67.1875	0	0	valid_score_ascending_then_invalid_then_pose_ordinal_ascending;whole_failure_zero
All128	full	AutoDock-Vina-1.2.7	1	128	48	0.375	37.5	2	115	valid_score_ascending_then_invalid_then_pose_ordinal_ascending;whole_failure_zero
All128	full	AutoDock-Vina-1.2.7	2	128	63	0.4921875	49.21875	2	115	valid_score_ascending_then_invalid_then_pose_ordinal_ascending;whole_failure_zero
All128	full	AutoDock-Vina-1.2.7	3	128	68	0.53125	53.125	2	115	valid_score_ascending_then_invalid_then_pose_ordinal_ascending;whole_failure_zero
All128	full	AutoDock-Vina-1.2.7	4	128	70	0.546875	54.6875	2	115	valid_score_ascending_then_invalid_then_pose_ordinal_ascending;whole_failure_zero
All128	full	AutoDock-Vina-1.2.7	5	128	74	0.578125	57.8125	2	115	valid_score_ascending_then_invalid_then_pose_ordinal_ascending;whole_failure_zero
All128	full	AutoDock-Vina-1.2.7	6	128	78	0.609375	60.9375	2	115	valid_score_ascending_then_invalid_then_pose_ordinal_ascending;whole_failure_zero
All128	full	AutoDock-Vina-1.2.7	7	128	80	0.625	62.5	2	115	valid_score_ascending_then_invalid_then_pose_ordinal_ascending;whole_failure_zero
All128	full	AutoDock-Vina-1.2.7	8	128	81	0.6328125	63.28125	2	115	valid_score_ascending_then_invalid_then_pose_ordinal_ascending;whole_failure_zero
All128	full	AutoDock-Vina-1.2.7	9	128	82	0.640625	64.0625	2	115	valid_score_ascending_then_invalid_then_pose_ordinal_ascending;whole_failure_zero
All128	full	AutoDock-Vina-1.2.7	10	128	83	0.6484375	64.84375	2	115	valid_score_ascending_then_invalid_then_pose_ordinal_ascending;whole_failure_zero
All128	full	rDock-26.05-alpha	1	128	51	0.3984375	39.84375	4	160	valid_score_ascending_then_invalid_then_pose_ordinal_ascending;whole_failure_zero
All128	full	rDock-26.05-alpha	2	128	66	0.515625	51.5625	4	160	valid_score_ascending_then_invalid_then_pose_ordinal_ascending;whole_failure_zero
All128	full	rDock-26.05-alpha	3	128	68	0.53125	53.125	4	160	valid_score_ascending_then_invalid_then_pose_ordinal_ascending;whole_failure_zero
All128	full	rDock-26.05-alpha	4	128	72	0.5625	56.25	4	160	valid_score_ascending_then_invalid_then_pose_ordinal_ascending;whole_failure_zero
All128	full	rDock-26.05-alpha	5	128	74	0.578125	57.8125	4	160	valid_score_ascending_then_invalid_then_pose_ordinal_ascending;whole_failure_zero
All128	full	rDock-26.05-alpha	6	128	76	0.59375	59.375	4	160	valid_score_ascending_then_invalid_then_pose_ordinal_ascending;whole_failure_zero
