complex_id	benchmark_memberships	rankable_lt2	oracle_rmsd_A	pose_count	near_native_pose_count_rmsd_lt2	relevance_3_count_rmsd_lt2	relevance_2_count_rmsd_2_to_lt4	relevance_1_count_rmsd_4_to_lt6	relevance_0_count_rmsd_ge6
1am0	Chen;Philips;Ruiz	True	1.010526539676868	40	25	25	14	0	1
1arj	Yan	True	1.4546008195263285	40	30	30	8	2	0
1byj	Chen;Philips;Ruiz;Yan	True	1.0964407310813447	40	7	7	9	7	17
1cvx	Yan	True	1.469550698484631	40	8	8	10	1	21
1cvy	Yan	True	1.451309373224231	40	9	9	14	2	15
1db6	Yan	True	1.5406292602375178	40	2	2	4	34	0
1eht	Chen;Philips;Ruiz	True	0.5976845675669501	40	19	19	21	0	0
1ei2	Chen;Philips;Ruiz	False	2.8688199810740174	40	0	0	9	1	30
1f1t	Chen;Philips;Ruiz;Yan	True	0.34244180527499796	40	14	14	0	26	0
1f27	Chen;Philips;Ruiz;Yan	True	1.673565540993241	40	5	5	11	1	23
1fjg	Philips	False	2.4929165963643007	40	0	0	9	8	23
1fmn	Chen;Philips;Ruiz	True	1.043119549329581	40	9	9	4	11	16
1fyp	Chen;Philips;Ruiz;Yan	False	2.1885660559349076	40	0	0	13	20	7
1hnw	Philips	False	2.570370683201645	40	0	0	30	1	9
1i9v	Yan	False	2.8191762082380087	40	0	0	21	14	5
1j7t	Chen;Philips;Ruiz	False	2.1334765656529897	40	0	0	12	19	9
1koc	Chen;Philips;Ruiz	True	1.1731711742821962	40	31	31	9	0	0
1lc4	Chen;Ruiz	True	1.4541866945134658	40	6	6	14	0	20
1lvj	Chen;Ruiz	False	4.779434983524635	40	0	0	0	26	14
1mwl	Chen;Philips;Ruiz	True	1.496875025334643	40	3	3	13	0	24
1nbk	Philips	True	1.1126695983085002	40	27	27	1	1	11
1nem	Chen;Philips;Ruiz	False	2.0908646676845035	40	0	0	17	14	9
1nta	Ruiz	True	1.7214690151147072	40	3	3	14	23	0
1ntb	Chen;Ruiz	True	1.9759228848186359	40	2	2	16	21	1
1nzm	Yan	True	0.48557503658430146	40	13	13	0	19	8
1o15	Ruiz	True	0.43604654303446555	40	20	20	20	0	0
1o9m	Ruiz	False	2.03138917319478	40	0	0	14	3	23
1p96	Yan	True	1.890397318772039	40	2	2	23	11	4
1pbr	Chen;Philips;Ruiz	True	1.705537819937774	40	4	4	11	4	21
1q8n	Chen;Philips;Ruiz;Yan	True	0.7660217529548362	40	26	26	0	14	0
1qd3	Chen;Ruiz;Yan	True	1.928330414349357	40	1	1	22	9	8
1qv4	Yan	True	1.3794472552439256	40	16	16	15	0	9
1qv8	Yan	True	0.7532759854755212	40	14	14	15	0	11
1r4e	Yan	True	1.7529805623712096	40	2	2	7	10	21
1tob	Chen;Philips;Ruiz	False	2.2437617642449252	40	0	0	10	8	22
1u8d	Chen;Ruiz	False	2.8086222024330723	40	0	0	40	0	0
1uts	Philips;Ruiz;Yan	False	3.66591238602343	40	0	0	4	19	17
1uud	Chen;Philips;Ruiz;Yan	False	4.799426024765878	40	0	0	0	3	37
1uui	Philips;Ruiz	True	1.2204785934036377	40	6	6	11	14	9
1xbp	Philips	False	2.0432794041039264	40	0	0	17	6	17
1xpf	Philips;Ruiz	True	1.2621769515970638	40	30	30	8	2	0
1y26	Chen;Philips;Ruiz	True	0.3459016854541189	40	4	4	36	0	0
1y27	Chen	True	0.42165238267817423	40	15	15	24	1	0
1ykv	Chen;Yan	True	0.8136967939595191	40	16	16	1	10	13
1yrj	Chen;Ruiz;Yan	True	1.5864127895724114	40	2	2	22	1	15
1zz5	Chen	True	1.9276680521470217	40	2	2	12	23	3
2au4	Ruiz;Yan	False	2.6098290481610085	40	0	0	15	23	2
2b57	Yan	True	0.2784821978968396	40	6	6	34	0	0
2be0	Chen;Philips;Ruiz;Yan	False	3.560703918765977	40	0	0	1	1	38
2bee	Philips;Ruiz;Yan	False	2.694421231366918	40	0	0	7	7	26
2d55	Yan	False	4.722855449866461	40	0	0	0	12	28
2esi	Chen	True	1.447672750878583	40	8	8	9	5	18
2esj	Ruiz	False	2.7541699940551685	40	0	0	4	7	29
2et3	Ruiz	True	1.258566850083472	40	9	9	16	0	15
2et4	Ruiz	True	1.73884504327551	40	1	1	10	16	13
2et8	Chen;Philips;Ruiz	True	0.8622047679166382	40	12	12	15	1	12
2f4s	Ruiz	True	1.4976502671609522	40	5	5	9	6	20
2f4t	Chen;Ruiz;Yan	True	1.8236189809590941	40	1	1	11	8	20
2f4u	Philips;Ruiz;Yan	True	1.3189682171219206	40	2	2	1	3	34
2fcx	Ruiz	True	1.377127866909309	40	13	13	19	3	5
2fcy	Ruiz	False	2.188452685825133	40	0	0	5	17	18
2fcz	Chen;Philips;Ruiz	True	1.1486058859723483	40	7	7	9	19	5
2fd0	Chen;Philips;Ruiz	False	2.177141944729374	40	0	0	13	7	20
2g5k	Yan	True	1.9817026195073184	40	1	1	26	0	13
2g5q	Chen;Philips;Ruiz	True	1.3671477774000875	40	5	5	3	17	15
2g9c	Yan	True	0.250364687339622	40	8	8	32	0	0
2gdi	Chen;Philips	True	0.9672940538111776	40	10	10	29	0	1
2gis	Chen	True	1.253357946714582	40	7	7	11	22	0
2juk	Ruiz	False	4.113089637162474	40	0	0	0	13	27
2jwq	Yan	True	1.4500129621187874	40	5	5	3	12	20
2kgp	Chen;Yan	True	1.0569237153172404	40	20	20	17	3	0
2ktz	Chen;Yan	True	0.6235266564505063	40	18	18	1	2	19
2ku0	Chen;Yan	True	1.245806420512956	40	14	14	2	10	14
2l94	Yan	True	0.9025169714470749	40	25	25	15	0	0
2loa	Yan	False	2.5194676881712796	40	0	0	10	14	16
2mb3	Yan	True	1.875009959386883	40	4	4	9	2	25
2o3v	Chen;Ruiz	False	2.9836500796363983	40	0	0	14	20	6
2o3w	Ruiz;Yan	False	2.4886670918480878	40	0	0	4	10	26
2o3x	Philips;Ruiz;Yan	True	1.508943347340738	40	2	2	7	25	6
2oe5	Philips;Ruiz	True	1.5115900851108426	40	6	6	13	0	21
2oe8	Chen;Ruiz	True	1.554948458344555	40	9	9	8	0	23
2ogn	Philips	True	1.7742209103682316	40	2	2	17	8	13
2pwt	Chen;Philips	False	4.541330217146366	40	0	0	0	2	38
2tob	Chen;Philips;Ruiz	False	2.4798907897450846	40	0	0	17	7	16
2xnw	Yan	True	0.31603037037601317	40	12	12	23	5	0
2xnz	Yan	True	0.18425218225754264	40	23	23	17	0	0
2xo0	Yan	True	0.2622224723398056	40	12	12	28	0	0
2xo1	Yan	True	0.3066500715206767	40	6	6	34	0	0
2ydh	Yan	True	0.9351579327895684	40	2	2	4	26	8
2ygh	Yan	True	0.8085414701107724	40	21	21	6	13	0
316d	Yan	False	2.8136914808771127	40	0	0	1	12	27
3c44	Ruiz	True	1.6293838418394908	40	9	9	6	12	13
3d2x	Philips	False	2.0356098555091924	40	0	0	38	2	0
3dil	Chen	True	0.7641134176285612	40	16	16	0	24	0
3ds7	Yan	True	0.8217342892354335	40	27	27	13	0	0
3dvv	Chen	True	1.2764267243287588	40	13	13	1	16	10
3e5c	Yan	True	1.999396467177774	40	1	1	11	27	1
3f2q	Chen	True	1.0101305388334074	40	17	17	3	14	6
3fo4	Yan	True	0.2613436174151499	40	9	9	31	0	0
3fo6	Yan	True	0.22728604041310277	40	12	12	28	0	0
3gao	Yan	True	0.33643264353561714	40	6	6	27	7	0
3ger	Yan	True	0.19989114992460735	40	15	15	25	0	0
3ges	Yan	True	0.2499471444125742	40	9	9	31	0	0
3gog	Yan	True	0.3998875762465794	40	4	4	36	0	0
3got	Yan	False	2.7716463906035083	40	0	0	40	0	0
3gx2	Chen;Philips	True	1.4084389881472794	40	7	7	11	20	2
3gx3	Chen	True	1.0187102173449898	40	8	8	16	16	0
3gx5	Chen	True	1.770310961698851	40	1	1	15	23	1
3gx7	Chen	True	0.9634540639456212	40	7	7	6	25	2
3la5	Chen;Yan	True	0.4656472981238049	40	14	14	26	0	0
3mum	Yan	False	3.9643502277773415	40	0	0	5	34	1
3mur	Yan	False	2.887031483992722	40	0	0	37	3	0
3mxh	Yan	False	3.3503603627397145	40	0	0	33	7	0
3npn	Yan	True	1.3746024435058704	40	7	7	7	0	26
3npq	Chen	True	1.5500293256531037	40	5	5	4	2	29
3owz	Yan	True	0.5381498397286741	40	16	16	24	0	0
3q3z	Chen;Yan	False	3.031699731604153	40	0	0	37	3	0
3q50	Yan	True	0.46515965083961236	40	19	19	19	2	0
3s4p	Yan	False	3.012090399774731	40	0	0	1	1	38
3slm	Yan	True	0.7676568107757754	40	8	8	17	0	15
407d	Yan	True	1.2836002777831577	40	10	10	12	4	14
408d	Yan	True	1.2521951214278308	40	10	10	13	1	16
4aob	Yan	True	1.5428576303105248	40	6	6	20	13	1
4erj	Yan	True	0.4577464521374737	40	31	31	0	9	0
4fe5	Yan	False	2.83347179587163	40	0	0	40	0	0
4jf2	Yan	True	0.2420939439397603	40	23	23	16	1	0
4kqy	Yan	True	1.3444671812586133	40	7	7	16	16	1
4lvv	Yan	True	1.6659476977878704	40	3	3	34	3	0
