benchmark_set	population	metric	top_n	n_complexes	total_pose_slots	near_native_pose_count	mean_near_native_poses_per_complex	rankable_complex_count	permutations	permutation_seed	estimate	estimate_pct	mean_success_count	randomization_p025	randomization_p975	analytic_expectation	mc_minus_analytic
All128	full	topn_success_rate	1	128	5120	969	7.5703125	92	10000	20260906	0.18905625	18.905625	24.1992	0.1328125	0.25	0.1892578125	-0.0002015625000000021
All128	full	topn_success_rate	2	128	5120	969	7.5703125	92	10000	20260906	0.30270859375	30.270859374999997	38.7467	0.2421875	0.3671875	0.30261418269230766	9.441105769231184e-05
All128	full	topn_success_rate	3	128	5120	969	7.5703125	92	10000	20260906	0.37866875	37.866875	48.4696	0.3203125	0.4375	0.3786350265688259	3.372343117408194e-05
All128	full	topn_success_rate	4	128	5120	969	7.5703125	92	10000	20260906	0.433771875	43.3771875	55.5228	0.375	0.4921875	0.43365606877120033	0.00011580622879964197
All128	full	topn_success_rate	5	128	5120	969	7.5703125	92	10000	20260906	0.4756859375	47.56859375	60.8878	0.421875	0.53125	0.47550356293160567	0.00018237456839431676
All128	full	topn_success_rate	6	128	5120	969	7.5703125	92	10000	20260906	0.5086484375	50.86484375	65.107	0.453125	0.5625	0.5084227366916512	0.00022570080834882766
All128	full	topn_success_rate	7	128	5120	969	7.5703125	92	10000	20260906	0.53499140625	53.499140624999995	68.4789	0.484375	0.5859375	0.534963695238463	2.7711011536979413e-05
All128	full	topn_success_rate	8	128	5120	969	7.5703125	92	10000	20260906	0.556953125	55.69531250000001	71.29	0.5078125	0.6015625	0.5567765355013807	0.00017658949861931728
All128	full	topn_success_rate	9	128	5120	969	7.5703125	92	10000	20260906	0.57499921875	57.499921875000005	73.5999	0.5234375	0.625	0.5749867817809962	1.2436969003881693e-05
All128	full	topn_success_rate	10	128	5120	969	7.5703125	92	10000	20260906	0.59028671875	59.02867187500001	75.5567	0.546875	0.6328125	0.5903924386041189	-0.00010571985411889084
All128	full	mrr_first_lt2		128	5120	969	7.5703125	92	10000	20260906	0.3163625127688327			0.27363226607224667	0.3598931524971806	0.3164260355385749	-6.352276974219695e-05
All128	full	ndcg_at_10		128	5120	969	7.5703125	92	10000	20260906	0.4939713987438873			0.47347465196234023	0.5147641894792785	0.49411150227083833	-0.0001401035269510409
All128	rankable_lt2	topn_success_rate	1	92	3680	969	10.532608695652174	92	10000	20260906	0.26303478260869567	26.303478260869568	24.1992	0.18478260869565216	0.34782608695652173	0.26331521739130437	-0.00028043478260869614
All128	rankable_lt2	topn_success_rate	2	92	3680	969	10.532608695652174	92	10000	20260906	0.4211597826086957	42.11597826086957	38.746700000000004	0.33695652173913043	0.5108695652173914	0.42102842809364543	0.00013135451505025264
All128	rankable_lt2	topn_success_rate	3	92	3680	969	10.532608695652174	92	10000	20260906	0.5268434782608696	52.68434782608696	48.46960000000001	0.44565217391304346	0.6086956521739131	0.5267965587044534	4.691955641622503e-05
All128	rankable_lt2	topn_success_rate	4	92	3680	969	10.532608695652174	92	10000	20260906	0.6035086956521739	60.350869565217394	55.5228	0.5217391304347826	0.6847826086956522	0.6033475739425396	0.00016112170963433758
All128	rankable_lt2	topn_success_rate	5	92	3680	969	10.532608695652174	92	10000	20260906	0.6618239130434783	66.18239130434783	60.887800000000006	0.5869565217391305	0.7391304347826086	0.6615701745135383	0.00025373852994003965
All128	rankable_lt2	topn_success_rate	6	92	3680	969	10.532608695652174	92	10000	20260906	0.7076847826086956	70.76847826086956	65.107	0.6304347826086957	0.782608695652174	0.707370764092732	0.00031401851596357666
All128	rankable_lt2	topn_success_rate	7	92	3680	969	10.532608695652174	92	10000	20260906	0.7443358695652174	74.43358695652174	68.4789	0.6739130434782609	0.8152173913043478	0.7442973151143832	3.855445083411624e-05
All128	rankable_lt2	topn_success_rate	8	92	3680	969	10.532608695652174	92	10000	20260906	0.774891304347826	77.48913043478261	71.28999999999999	0.7065217391304348	0.8369565217391305	0.7746456146106167	0.000245689737209398
All128	rankable_lt2	topn_success_rate	9	92	3680	969	10.532608695652174	92	10000	20260906	0.7999989130434783	79.99989130434783	73.5999	0.7282608695652174	0.8695652173913043	0.7999816094344294	1.7303609048835433e-05
