subset	fraction_pct	left	right	metric	difference_left_minus_right	ci95_low	ci95_high	unit	bootstrap_draws	resampling	ci_status	finite_bootstrap_draws
All128	10	Transfer-All	Transfer-NonSurface	pose_density_lt2_pct	9.713541666666668	7.03125	12.604166666666668	percentage_points	10000	paired_surface_transfer	POINTWISE_EXPLORATORY	10000
All128	10	Transfer-All	Transfer-NonSurface	coverage_k10_lt2_pct	23.177083333333332	16.145833333333336	30.46875	percentage_points	10000	paired_surface_transfer	POINTWISE_EXPLORATORY	10000
All128	10	Transfer-All	Transfer-NonSurface	median_best_rmsd_A	-0.804782917944801	-1.1918710021641121	-0.5658100229981511	Angstrom	10000	paired_surface_transfer	POINTWISE_EXPLORATORY	10000
All128	10	Transfer-All	Transfer-NonSurface	valid_fraction_pct	0.0	0.0	0.0	percentage_points	10000	paired_surface_transfer	POINTWISE_EXPLORATORY	10000
All128	25	Transfer-All	Transfer-NonSurface	pose_density_lt2_pct	7.317708333333333	4.973958333333334	9.869791666666666	percentage_points	10000	paired_surface_transfer	POINTWISE_EXPLORATORY	10000
All128	25	Transfer-All	Transfer-NonSurface	coverage_k10_lt2_pct	17.1875	10.416666666666671	23.958333333333336	percentage_points	10000	paired_surface_transfer	POINTWISE_EXPLORATORY	10000
All128	25	Transfer-All	Transfer-NonSurface	median_best_rmsd_A	-0.5902473491212121	-0.8461019056246779	-0.3099994186064468	Angstrom	10000	paired_surface_transfer	POINTWISE_EXPLORATORY	10000
All128	25	Transfer-All	Transfer-NonSurface	valid_fraction_pct	0.0	0.0	0.0	percentage_points	10000	paired_surface_transfer	POINTWISE_EXPLORATORY	10000
All128	50	Transfer-All	Transfer-NonSurface	pose_density_lt2_pct	7.057291666666666	4.479166666666666	9.739583333333334	percentage_points	10000	paired_surface_transfer	POINTWISE_EXPLORATORY	10000
All128	50	Transfer-All	Transfer-NonSurface	coverage_k10_lt2_pct	11.458333333333329	5.208333333333336	17.96875	percentage_points	10000	paired_surface_transfer	POINTWISE_EXPLORATORY	10000
All128	50	Transfer-All	Transfer-NonSurface	median_best_rmsd_A	-0.42895167102368004	-0.6049353578166587	-0.16571635522326994	Angstrom	10000	paired_surface_transfer	POINTWISE_EXPLORATORY	10000
All128	50	Transfer-All	Transfer-NonSurface	valid_fraction_pct	0.0	0.0	0.0	percentage_points	10000	paired_surface_transfer	POINTWISE_EXPLORATORY	10000
All128	100	Transfer-All	Transfer-NonSurface	pose_density_lt2_pct	4.557291666666668	2.395833333333332	6.796875000000002	percentage_points	10000	paired_surface_transfer	POINTWISE_EXPLORATORY	10000
