subset	complexes	fraction_pct	method	replicate_type	replicate	pose_density_lt2_pct	coverage_k10_lt2_pct	median_best_rmsd_A	valid_fraction_pct	all_failed_complexes
All128	128	10	Transfer-All	training_seed	0	14.0625	46.09375	2.1090356790847133	100.0	0
All128	128	10	Transfer-All	training_seed	1	13.125	44.53125	2.211322647681711	100.0	0
All128	128	10	Transfer-All	training_seed	2	14.0625	45.3125	2.130995562605975	100.0	0
All128	128	10	Transfer-NonSurface	training_seed	0	4.453125	22.65625	3.0079564577395774	100.0	0
All128	128	10	Transfer-NonSurface	training_seed	1	3.5937499999999996	19.53125	3.0172107680810263	100.0	0
All128	128	10	Transfer-NonSurface	training_seed	2	4.0625	24.21875	2.840535417386199	100.0	0
All128	128	25	Transfer-All	training_seed	0	14.21875	49.21875	2.0417419994103785	100.0	0
All128	128	25	Transfer-All	training_seed	1	15.859375	50.78125	1.9873101535274564	100.0	0
All128	128	25	Transfer-All	training_seed	2	15.625	53.90625	1.8711991423094005	100.0	0
All128	128	25	Transfer-NonSurface	training_seed	0	7.5	32.8125	2.668963453051452	100.0	0
All128	128	25	Transfer-NonSurface	training_seed	1	7.968749999999999	32.8125	2.4982056038270146	100.0	0
All128	128	25	Transfer-NonSurface	training_seed	2	8.28125	36.71875	2.503824285732405	100.0	0
All128	128	50	Transfer-All	training_seed	0	17.5	57.03125	1.8362186729442609	100.0	0
All128	128	50	Transfer-All	training_seed	1	17.65625	54.6875	1.706726621955199	100.0	0
All128	128	50	Transfer-All	training_seed	2	18.671875	55.46875	1.7181317017179192	100.0	0
All128	128	50	Transfer-NonSurface	training_seed	0	11.25	45.3125	2.151719421760057	100.0	0
All128	128	50	Transfer-NonSurface	training_seed	1	10.625	44.53125	2.1787873379687133	100.0	0
All128	128	50	Transfer-NonSurface	training_seed	2	10.78125	42.96875	2.2174252499596485	100.0	0
All128	128	100	Transfer-All	training_seed	0	16.40625	57.03125	1.7847976598040318	100.0	0
All128	128	100	Transfer-All	training_seed	1	18.828125	60.9375	1.6557780856796258	100.0	0
All128	128	100	Transfer-All	training_seed	2	17.578125	59.375	1.7232427057861128	100.0	0
All128	128	100	Transfer-NonSurface	training_seed	0	12.5	46.09375	2.0966975051833985	100.0	0
All128	128	100	Transfer-NonSurface	training_seed	1	13.750000000000002	49.21875	2.0453525810166804	100.0	0
All128	128	100	Transfer-NonSurface	training_seed	2	12.890625	48.4375	2.075076298569242	100.0	0
All128	128		Vina	docking_repeat	1	6.09375	35.9375	3.29113078	82.03125	23
All128	128		Vina	docking_repeat	2	6.484375000000001	37.5	3.3746758999999997	82.8125	22
All128	128		Vina	docking_repeat	3	6.484375000000001	39.0625	2.8832401350000003	83.59375	21
All128	128		rDock	docking_repeat	1	24.921875	39.84375	2.791674405	99.21875	1
All128	128		rDock	docking_repeat	2	25.46875	40.625	2.791169355	99.21875	1
All128	128		rDock	docking_repeat	3	24.921875	35.9375	2.937058295	99.21875	1
All128	128		LeDock	docking_repeat	1	25.859375	47.65625	2.1001548850000002	93.59375	3
All128	128		LeDock	docking_repeat	2	25.234374999999996	48.4375	2.038045275	93.90625	3
All128	128		LeDock	docking_repeat	3	23.125	44.53125	2.22661727	93.671875	3
All128	128		PLANTS	docking_repeat	1	7.03125	36.71875	3.414406865	89.84375	13
All128	128		PLANTS	docking_repeat	2	7.578124999999999	39.84375	3.57598341	89.84375	13
All128	128		PLANTS	docking_repeat	3	7.578124999999999	39.84375	3.173852655	89.84375	13
All128	128		AutoDock-GPU	docking_repeat	1	11.640625	38.28125	2.892155985	95.3125	6
All128	128		AutoDock-GPU	docking_repeat	2	11.171875	35.15625	2.906914265	95.3125	6
All128	128		AutoDock-GPU	docking_repeat	3	11.328125	33.59375	2.736433885	95.3125	6
Yan72	72	10	Transfer-All	training_seed	0	16.38888888888889	52.77777777777778	1.837214498265947	100.0	0
Yan72	72	10	Transfer-All	training_seed	1	14.722222222222223	48.61111111111111	2.0158268735545244	100.0	0
Yan72	72	10	Transfer-All	training_seed	2	15.972222222222221	50.0	1.9979234214567625	100.0	0
Yan72	72	10	Transfer-NonSurface	training_seed	0	6.805555555555555	30.555555555555557	2.89241203744278	100.0	0
Yan72	72	10	Transfer-NonSurface	training_seed	1	5.694444444444445	29.166666666666668	2.9200156633969385	100.0	0
Yan72	72	10	Transfer-NonSurface	training_seed	2	5.972222222222222	31.944444444444443	2.697706672180881	100.0	0
Yan72	72	25	Transfer-All	training_seed	0	15.555555555555555	52.77777777777778	1.7453939654093082	100.0	0
Yan72	72	25	Transfer-All	training_seed	1	17.63888888888889	55.55555555555556	1.6775353608934944	100.0	0
Yan72	72	25	Transfer-All	training_seed	2	16.805555555555557	56.94444444444444	1.690145096214593	100.0	0
Yan72	72	25	Transfer-NonSurface	training_seed	0	10.277777777777777	43.05555555555556	2.3536327896584455	100.0	0
Yan72	72	25	Transfer-NonSurface	training_seed	1	10.694444444444445	41.66666666666667	2.167792624511816	100.0	0
Yan72	72	25	Transfer-NonSurface	training_seed	2	10.833333333333334	44.44444444444444	2.1771947669298	100.0	0
Yan72	72	50	Transfer-All	training_seed	0	20.27777777777778	61.111111111111114	1.606674846912019	100.0	0
Yan72	72	50	Transfer-All	training_seed	1	20.0	59.72222222222222	1.5787662217895608	100.0	0
Yan72	72	50	Transfer-All	training_seed	2	21.52777777777778	59.72222222222222	1.5659631024647886	100.0	0
Yan72	72	50	Transfer-NonSurface	training_seed	0	14.305555555555555	54.166666666666664	1.7134706979923022	100.0	0
Yan72	72	50	Transfer-NonSurface	training_seed	1	13.88888888888889	52.77777777777778	1.8732619592204387	100.0	0
Yan72	72	50	Transfer-NonSurface	training_seed	2	13.61111111111111	51.388888888888886	1.9264179059267592	100.0	0
Yan72	72	100	Transfer-All	training_seed	0	17.916666666666668	59.72222222222222	1.6441443612453077	100.0	0
Yan72	72	100	Transfer-All	training_seed	1	20.555555555555554	59.72222222222222	1.5480788500336309	100.0	0
Yan72	72	100	Transfer-All	training_seed	2	19.583333333333332	59.72222222222222	1.6533613766939652	100.0	0
Yan72	72	100	Transfer-NonSurface	training_seed	0	14.305555555555555	44.44444444444444	2.0966975051833985	100.0	0
Yan72	72	100	Transfer-NonSurface	training_seed	1	16.11111111111111	50.0	2.017146673646937	100.0	0
Yan72	72	100	Transfer-NonSurface	training_seed	2	15.138888888888888	50.0	2.0163917222178727	100.0	0
Yan72	72		Vina	docking_repeat	1	6.944444444444445	43.05555555555556	2.6586797300000002	87.5	9
Yan72	72		Vina	docking_repeat	2	7.222222222222221	41.66666666666667	2.89450101	86.11111111111111	10
Yan72	72		Vina	docking_repeat	3	7.222222222222221	43.05555555555556	2.215536165	87.5	9
Yan72	72		rDock	docking_repeat	1	33.75	43.05555555555556	2.2724496399999996	98.61111111111111	1
Yan72	72		rDock	docking_repeat	2	33.611111111111114	47.22222222222222	2.2305541499999997	98.61111111111111	1
Yan72	72		rDock	docking_repeat	3	33.33333333333333	43.05555555555556	2.56845559	98.61111111111111	1
Yan72	72		LeDock	docking_repeat	1	27.77777777777778	48.61111111111111	2.054054075	91.52777777777777	3
Yan72	72		LeDock	docking_repeat	2	28.333333333333332	50.0	1.979057935	91.94444444444444	3
Yan72	72		LeDock	docking_repeat	3	28.749999999999996	52.77777777777778	1.859447405	91.80555555555556	3
Yan72	72		PLANTS	docking_repeat	1	8.055555555555555	45.83333333333333	2.8325550049999997	93.05555555555556	5
Yan72	72		PLANTS	docking_repeat	2	8.75	47.22222222222222	3.09003754	93.05555555555556	5
Yan72	72		PLANTS	docking_repeat	3	8.61111111111111	48.61111111111111	2.21073012	93.05555555555556	5
Yan72	72		AutoDock-GPU	docking_repeat	1	16.11111111111111	43.05555555555556	2.503037235	98.61111111111111	1
Yan72	72		AutoDock-GPU	docking_repeat	2	15.416666666666668	43.05555555555556	2.340167255	98.61111111111111	1
Yan72	72		AutoDock-GPU	docking_repeat	3	16.38888888888889	44.44444444444444	2.32195112	98.61111111111111	1
Ruiz52	52	10	Transfer-All	training_seed	0	10.192307692307692	38.46153846153847	2.5039240356596464	100.0	0
Ruiz52	52	10	Transfer-All	training_seed	1	9.807692307692308	38.46153846153847	2.529726408114123	100.0	0
Ruiz52	52	10	Transfer-All	training_seed	2	10.384615384615385	38.46153846153847	2.5426730234335793	100.0	0
Ruiz52	52	10	Transfer-NonSurface	training_seed	0	2.5	15.384615384615385	3.547787622459439	100.0	0
Ruiz52	52	10	Transfer-NonSurface	training_seed	1	1.9230769230769231	9.615384615384617	3.553053537937586	100.0	0
Ruiz52	52	10	Transfer-NonSurface	training_seed	2	2.1153846153846154	11.538461538461538	3.3762411187392445	100.0	0
Ruiz52	52	25	Transfer-All	training_seed	0	9.423076923076923	38.46153846153847	2.3174022115041337	100.0	0
Ruiz52	52	25	Transfer-All	training_seed	1	10.961538461538462	34.61538461538461	2.384676862244052	100.0	0
Ruiz52	52	25	Transfer-All	training_seed	2	10.192307692307692	42.30769230769231	2.3532002812989194	100.0	0
Ruiz52	52	25	Transfer-NonSurface	training_seed	0	5.1923076923076925	23.076923076923077	2.926602055912517	100.0	0
Ruiz52	52	25	Transfer-NonSurface	training_seed	1	5.0	21.153846153846153	2.8435825762330627	100.0	0
Ruiz52	52	25	Transfer-NonSurface	training_seed	2	5.1923076923076925	26.923076923076923	2.876345457423063	100.0	0
Ruiz52	52	50	Transfer-All	training_seed	0	11.538461538461538	44.230769230769226	2.3230400267051934	100.0	0
Ruiz52	52	50	Transfer-All	training_seed	1	12.115384615384615	38.46153846153847	2.284992262667635	100.0	0
Ruiz52	52	50	Transfer-All	training_seed	2	12.115384615384615	42.30769230769231	2.2508594767279786	100.0	0
Ruiz52	52	50	Transfer-NonSurface	training_seed	0	7.5	26.923076923076923	2.8168926581572533	100.0	0
Ruiz52	52	50	Transfer-NonSurface	training_seed	1	7.307692307692308	32.69230769230769	2.542129633654846	100.0	0
Ruiz52	52	50	Transfer-NonSurface	training_seed	2	7.115384615384615	26.923076923076923	2.5995649409211774	100.0	0
Ruiz52	52	100	Transfer-All	training_seed	0	13.076923076923078	48.07692307692308	2.1136482050458465	100.0	0
Ruiz52	52	100	Transfer-All	training_seed	1	15.0	53.84615384615385	1.855174939842265	100.0	0
Ruiz52	52	100	Transfer-All	training_seed	2	14.038461538461538	51.92307692307693	1.9623150728380796	100.0	0
Ruiz52	52	100	Transfer-NonSurface	training_seed	0	9.615384615384617	34.61538461538461	2.339960840559713	100.0	0
Ruiz52	52	100	Transfer-NonSurface	training_seed	1	9.807692307692308	36.53846153846153	2.555378628541033	100.0	0
Ruiz52	52	100	Transfer-NonSurface	training_seed	2	10.576923076923077	40.38461538461539	2.475223170983801	100.0	0
Ruiz52	52		Vina	docking_repeat	1	3.4615384615384617	15.384615384615385	5.276800955000001	69.23076923076923	16
Ruiz52	52		Vina	docking_repeat	2	3.8461538461538463	17.307692307692307	4.66780843	71.15384615384616	15
Ruiz52	52		Vina	docking_repeat	3	3.4615384615384617	19.230769230769234	4.90301366	73.07692307692307	14
Ruiz52	52		rDock	docking_repeat	1	11.346153846153847	26.923076923076923	3.4480731149999997	100.0	0
Ruiz52	52		rDock	docking_repeat	2	13.461538461538462	25.0	3.246806265	100.0	0
Ruiz52	52		rDock	docking_repeat	3	10.192307692307692	17.307692307692307	3.55130587	100.0	0
Ruiz52	52		LeDock	docking_repeat	1	12.307692307692308	30.76923076923077	2.531086985	96.92307692307692	0
Ruiz52	52		LeDock	docking_repeat	2	15.192307692307692	34.61538461538461	2.53618083	97.11538461538461	0
Ruiz52	52		LeDock	docking_repeat	3	9.038461538461538	21.153846153846153	2.699517605	97.11538461538461	0
Ruiz52	52		PLANTS	docking_repeat	1	4.423076923076923	19.230769230769234	3.752129005	96.15384615384616	2
Ruiz52	52		PLANTS	docking_repeat	2	5.0	23.076923076923077	3.9851494	96.15384615384616	2
Ruiz52	52		PLANTS	docking_repeat	3	4.230769230769231	21.153846153846153	3.5975065600000002	96.15384615384616	2
Ruiz52	52		AutoDock-GPU	docking_repeat	1	6.153846153846154	21.153846153846153	3.6448234	98.07692307692307	1
Ruiz52	52		AutoDock-GPU	docking_repeat	2	6.153846153846154	17.307692307692307	3.537952215	98.07692307692307	1
Ruiz52	52		AutoDock-GPU	docking_repeat	3	6.346153846153846	17.307692307692307	3.8548979599999997	98.07692307692307	1
Chen52	52	10	Transfer-All	training_seed	0	12.307692307692308	42.30769230769231	2.096361724096007	100.0	0
Chen52	52	10	Transfer-All	training_seed	1	12.115384615384615	46.15384615384615	2.080494770334375	100.0	0
Chen52	52	10	Transfer-All	training_seed	2	12.115384615384615	44.230769230769226	2.0628311003725908	100.0	0
Chen52	52	10	Transfer-NonSurface	training_seed	0	3.2692307692307696	19.230769230769234	3.3148628199702683	100.0	0
Chen52	52	10	Transfer-NonSurface	training_seed	1	2.307692307692308	11.538461538461538	3.2926811045142657	100.0	0
Chen52	52	10	Transfer-NonSurface	training_seed	2	2.6923076923076925	15.384615384615385	3.058746054101193	100.0	0
Chen52	52	25	Transfer-All	training_seed	0	12.692307692307692	50.0	2.001897944988584	100.0	0
Chen52	52	25	Transfer-All	training_seed	1	14.615384615384617	50.0	2.0165679626054978	100.0	0
Chen52	52	25	Transfer-All	training_seed	2	14.23076923076923	57.692307692307686	1.848336398570621	100.0	0
Chen52	52	25	Transfer-NonSurface	training_seed	0	4.615384615384616	21.153846153846153	2.7402310304184136	100.0	0
Chen52	52	25	Transfer-NonSurface	training_seed	1	5.5769230769230775	25.0	2.561406174878382	100.0	0
Chen52	52	25	Transfer-NonSurface	training_seed	2	5.769230769230769	26.923076923076923	2.5589514542775245	100.0	0
Chen52	52	50	Transfer-All	training_seed	0	16.538461538461537	59.61538461538461	1.8818955770250845	100.0	0
Chen52	52	50	Transfer-All	training_seed	1	15.192307692307692	51.92307692307693	1.896508792669768	100.0	0
Chen52	52	50	Transfer-All	training_seed	2	17.307692307692307	57.692307692307686	1.71000992891266	100.0	0
Chen52	52	50	Transfer-NonSurface	training_seed	0	9.230769230769232	38.46153846153847	2.2904029856425767	100.0	0
Chen52	52	50	Transfer-NonSurface	training_seed	1	8.846153846153847	40.38461538461539	2.217086424830394	100.0	0
Chen52	52	50	Transfer-NonSurface	training_seed	2	9.038461538461538	38.46153846153847	2.341491006812971	100.0	0
Chen52	52	100	Transfer-All	training_seed	0	16.73076923076923	63.46153846153846	1.8076331922485154	100.0	0
Chen52	52	100	Transfer-All	training_seed	1	19.230769230769234	67.3076923076923	1.5233464381299116	100.0	0
Chen52	52	100	Transfer-All	training_seed	2	19.423076923076923	67.3076923076923	1.5720738851084466	100.0	0
Chen52	52	100	Transfer-NonSurface	training_seed	0	12.115384615384615	50.0	2.026503818927717	100.0	0
Chen52	52	100	Transfer-NonSurface	training_seed	1	13.461538461538462	50.0	2.012100382808752	100.0	0
