subset	complexes	fraction_pct	method	replicates	replicate_type	pose_density_lt2_pct_mean	pose_density_lt2_pct_sample_sd	coverage_k10_lt2_pct_mean	coverage_k10_lt2_pct_sample_sd	median_best_rmsd_A_mean	median_best_rmsd_A_sample_sd	valid_fraction_pct_mean	valid_fraction_pct_sample_sd
All128	128	10	Transfer-All	3	training_seed	13.75	0.5412658773652742	45.3125	0.78125	2.1504512964574665	0.05384747135164142	100.0	0.0
All128	128	10	Transfer-NonSurface	3	training_seed	4.036458333333333	0.430278949006727	22.135416666666668	2.386758174456167	2.9552342144022674	0.09943978626623219	100.0	0.0
All128	128	25	Transfer-All	3	training_seed	15.234375	0.8873294290312927	51.302083333333336	2.386758174456167	1.9667504317490785	0.08711052259482993	100.0	0.0
All128	128	25	Transfer-NonSurface	3	training_seed	7.916666666666667	0.3932205435036848	34.114583333333336	2.2552744890219754	2.5569977808702906	0.09700580501610705	100.0	0.0
All128	128	50	Transfer-All	3	training_seed	17.942708333333332	0.636291235566178	55.729166666666664	1.1933790872280834	1.753692332205793	0.07169704769277306	100.0	0.0
All128	128	50	Transfer-NonSurface	3	training_seed	10.885416666666666	0.3252603124165832	44.270833333333336	1.1933790872280834	2.182644003229473	0.03302225560207419	100.0	0.0
All128	128	100	Transfer-All	3	training_seed	17.604166666666668	1.2111474952326546	59.114583333333336	1.9661027175184242	1.7212728170899236	0.0645323405194427	100.0	0.0
All128	128	100	Transfer-NonSurface	3	training_seed	13.046875	0.6394806853025361	47.916666666666664	1.6263015620829162	2.0723754615897736	0.025778793604700662	100.0	0.0
All128	128		Vina	3	docking_repeat	6.354166666666667	0.22552744890219809	37.5	1.5625	3.183015605	0.26295236465801963	82.8125	0.78125
All128	128		rDock	3	docking_repeat	25.104166666666668	0.3157384284630766	38.802083333333336	2.511367385675249	2.8399673516666666	0.08408360260415233	99.21875	0.0
All128	128		LeDock	3	docking_repeat	24.739583333333332	1.4327650732790536	46.875	2.0669932117692116	2.12160581	0.09609867825358859	93.72395833333333	0.16263015620829163
All128	128		PLANTS	3	docking_repeat	7.395833333333333	0.3157384284630761	38.802083333333336	1.8042195912175805	3.3880809766666666	0.202353836945638	89.84375	0.0
All128	128		AutoDock-GPU	3	docking_repeat	11.380208333333334	0.23867581744561667	35.677083333333336	2.386758174456167	2.845168045	0.09445522680253766	95.3125	0.0
Yan72	72	10	Transfer-All	3	training_seed	15.694444444444445	0.8673608331108881	50.46296296296296	2.121562821738817	1.9503215977590778	0.09836180847293312	100.0	0.0
Yan72	72	10	Transfer-NonSurface	3	training_seed	6.157407407407407	0.5782405554072589	30.555555555555557	1.3888888888888875	2.8367114576735326	0.12117028445063575	100.0	0.0
Yan72	72	25	Transfer-All	3	training_seed	16.666666666666668	1.0485881160098267	55.09259259259259	2.121562821738814	1.7043581408391317	0.03609301220226372	100.0	0.0
Yan72	72	25	Transfer-NonSurface	3	training_seed	10.601851851851853	0.28912027770363036	43.055555555555564	1.3888888888888857	2.2328733937000202	0.1046863116873202	100.0	0.0
Yan72	72	50	Transfer-All	3	training_seed	20.60185185185185	0.8138146218169885	60.18518518518519	0.8018753738744825	1.5838013903887893	0.020817690220126226	100.0	0.0
Yan72	72	50	Transfer-NonSurface	3	training_seed	13.935185185185185	0.3495293720032755	52.77777777777777	1.3888888888888893	1.8377168543798332	0.11083419689052397	100.0	0.0
Yan72	72	100	Transfer-All	3	training_seed	19.35185185185185	1.3345866023518107	59.72222222222222	0.0	1.6151948626576347	0.058306583730778364	100.0	0.0
Yan72	72	100	Transfer-NonSurface	3	training_seed	15.185185185185183	0.9036676525899598	48.14814814814815	3.2075014954979215	2.0434119670160693	0.04614817354188009	100.0	0.0
Yan72	72		Vina	3	docking_repeat	7.129629629629629	0.1603750747748955	42.592592592592595	0.8018753738744783	2.5895723016666667	0.3447175549266437	87.03703703703702	0.8018753738744784
Yan72	72		rDock	3	docking_repeat	33.56481481481482	0.2121562821738844	44.444444444444436	2.4056261216234396	2.3571531266666663	0.18418837172480823	98.61111111111113	1.7404671430534633e-14
Yan72	72		LeDock	3	docking_repeat	28.287037037037038	0.4877617478172543	50.46296296296296	2.121562821738817	1.9641864716666666	0.09815197052722992	91.75925925925925	0.2121562821738844
Yan72	72		PLANTS	3	docking_repeat	8.472222222222223	0.3674654598700821	47.22222222222222	1.3888888888888893	2.711107555	0.4520591742796411	93.05555555555556	0.0
Yan72	72		AutoDock-GPU	3	docking_repeat	15.972222222222223	0.5007710104811091	43.51851851851851	0.8018753738744784	2.3883852033333333	0.09970844080395248	98.61111111111113	1.7404671430534633e-14
Ruiz52	52	10	Transfer-All	3	training_seed	10.12820512820513	0.2937548522407587	38.46153846153847	0.0	2.5254411557357828	0.019726721834497807	100.0	0.0
Ruiz52	52	10	Transfer-NonSurface	3	training_seed	2.1794871794871793	0.2937548522407589	12.17948717948718	2.9375485224075897	3.49236075971209	0.10059702148275873	100.0	0.0
Ruiz52	52	25	Transfer-All	3	training_seed	10.192307692307693	0.7692307692307692	38.46153846153846	3.8461538461538467	2.3517597850157017	0.03366045053472945	100.0	0.0
Ruiz52	52	25	Transfer-NonSurface	3	training_seed	5.128205128205129	0.111028897921082	23.717948717948715	2.93754852240759	2.882176696522881	0.0418157986129797	100.0	0.0
Ruiz52	52	50	Transfer-All	3	training_seed	11.923076923076922	0.33308669376324546	41.666666666666664	2.937548522407585	2.286297255366936	0.03610796592460203	100.0	0.0
Ruiz52	52	50	Transfer-NonSurface	3	training_seed	7.3076923076923075	0.1923076923076925	28.846153846153843	3.330866937632457	2.652862410911092	0.14492806884424433	100.0	0.0
Ruiz52	52	100	Transfer-All	3	training_seed	14.03846153846154	0.9615384615384608	51.28205128205129	2.937548522407589	1.977046072575397	0.12986477186364237	100.0	0.0
Ruiz52	52	100	Transfer-NonSurface	3	training_seed	10.000000000000002	0.508798329050882	37.179487179487175	2.937548522407593	2.4568542133615154	0.10887731534983877	100.0	0.0
Ruiz52	52		Vina	3	docking_repeat	3.58974358974359	0.22205779584216373	17.30769230769231	1.9230769230769242	4.949207681666667	0.30711299159230376	71.15384615384615	1.9230769230769198
Ruiz52	52		rDock	3	docking_repeat	11.666666666666666	1.6580150200484058	23.076923076923077	5.087983290508829	3.4153950833333333	0.15485765294777903	100.0	0.0
Ruiz52	52		LeDock	3	docking_repeat	12.17948717948718	3.078925630390468	28.84615384615385	6.933752452815363	2.588928473333333	0.09580685699004798	97.05128205128206	0.11102889792108252
Ruiz52	52		PLANTS	3	docking_repeat	4.551282051282051	0.40032038451271773	21.153846153846153	1.9230769230769216	3.778261655	0.19513823151251844	96.15384615384615	1.7404671430534633e-14
Ruiz52	52		AutoDock-GPU	3	docking_repeat	6.217948717948718	0.11102889792108148	18.589743589743588	2.2205779584216376	3.679224525	0.16124896703343702	98.07692307692305	1.7404671430534633e-14
Chen52	52	10	Transfer-All	3	training_seed	12.17948717948718	0.1110288979210825	44.230769230769226	1.9230769230769234	2.079895864934324	0.016773332929951323	100.0	0.0
Chen52	52	10	Transfer-NonSurface	3	training_seed	2.756410256410257	0.48396374585068913	15.384615384615387	3.8461538461538476	3.222096659528576	0.1418998673193957	100.0	0.0
Chen52	52	25	Transfer-All	3	training_seed	13.846153846153845	1.0175966581017664	52.56410256410256	4.441155916843272	1.9556007687215675	0.09318281055071048	100.0	0.0
Chen52	52	25	Transfer-NonSurface	3	training_seed	5.320512820512821	0.6181827410892918	24.35897435897436	2.93754852240759	2.620196219858107	0.10396044066371429	100.0	0.0
Chen52	52	50	Transfer-All	3	training_seed	16.346153846153843	1.07072391592885	56.41025641025641	4.0032038451271745	1.8294714328691708	0.10371439009864103	100.0	0.0
Chen52	52	50	Transfer-NonSurface	3	training_seed	9.03846153846154	0.1923076923076925	39.10256410256411	1.1102889792108168	2.282993472428647	0.06253239695642152	100.0	0.0
Chen52	52	100	Transfer-All	3	training_seed	18.461538461538463	1.5019710915205118	66.02564102564104	2.220577958421638	1.6343511718289578	0.15203152624628372	100.0	0.0
Chen52	52	100	Transfer-NonSurface	3	training_seed	12.564102564102564	0.7772022854475734	50.0	0.0	2.0012859872264706	0.032025080722257564	100.0	0.0
Chen52	52		Vina	3	docking_repeat	6.538461538461539	0.1923076923076925	35.8974358974359	2.220577958421642	3.305693193333333	0.04236612269587866	83.33333333333333	1.1102889792108168
Chen52	52		rDock	3	docking_repeat	20.961538461538463	0.8382497968347455	35.8974358974359	4.839637458506891	2.8484014050000006	0.05481316484217661	100.0	0.0
Chen52	52		LeDock	3	docking_repeat	25.192307692307693	3.8605499807470642	41.666666666666664	4.8396374585068935	2.238448995	0.17418679324664718	96.28205128205128	0.4003203845127121
