arm,epoch,comparison,metric,positive_direction,point_estimate,ci95_low,ci95_high,probability_benefit_gt0,bootstrap_repetitions,bootstrap_seed
Transfer-All,25,surface_gate_true_vs_off,pose_density_rmsd_lt2,true/gate1 better than altered,0.1947565543071161,0.16891385767790265,0.22134831460674156,1.0,20000,18214105416929135165
Transfer-All,25,surface_gate_true_vs_off,best_of_k10_coverage_rmsd_lt2,true/gate1 better than altered,0.6217228464419475,0.5617977528089888,0.6816479400749064,1.0,20000,1835065996641657570
Transfer-All,25,surface_gate_true_vs_off,best_of_k10_rmsd,true/gate1 better than altered,6.505725443383688,6.259560370176278,6.750014614031771,1.0,20000,8975320029803682167
Transfer-All,25,chemistry_true_vs_shuffle_20260911,pose_density_rmsd_lt2,true/gate1 better than altered,0.016853932584269662,0.004494382022471908,0.02958801498127341,0.99565,20000,1335678637076957466
Transfer-All,25,chemistry_true_vs_shuffle_20260911,best_of_k10_coverage_rmsd_lt2,true/gate1 better than altered,0.0449438202247191,0.011235955056179775,0.07865168539325842,0.996,20000,17801344623250660330
Transfer-All,25,chemistry_true_vs_shuffle_20260911,best_of_k10_rmsd,true/gate1 better than altered,0.027699043644691744,-0.015948402337612175,0.07650692987952132,0.88575,20000,7585702939863891354
Transfer-All,25,chemistry_true_vs_shuffle_20260912,pose_density_rmsd_lt2,true/gate1 better than altered,0.007865168539325841,-0.006367041198501874,0.022097378277153554,0.85635,20000,1733837182584357938
Transfer-All,25,chemistry_true_vs_shuffle_20260912,best_of_k10_coverage_rmsd_lt2,true/gate1 better than altered,0.02247191011235955,-0.0149812734082397,0.06367041198501873,0.8352,20000,75799478591497845
Transfer-All,25,chemistry_true_vs_shuffle_20260912,best_of_k10_rmsd,true/gate1 better than altered,0.037129172409367535,-0.009955304618015458,0.08641743190517621,0.9383,20000,5304390266062753227
Transfer-All,25,chemistry_true_vs_shuffle_20260913,pose_density_rmsd_lt2,true/gate1 better than altered,0.014232209737827715,0.0014981273408239697,0.02659176029962547,0.9855,20000,16810081617623132876
Transfer-All,25,chemistry_true_vs_shuffle_20260913,best_of_k10_coverage_rmsd_lt2,true/gate1 better than altered,0.04868913857677903,0.0149812734082397,0.08614232209737827,0.99945,20000,1876828481759142513
Transfer-All,25,chemistry_true_vs_shuffle_20260913,best_of_k10_rmsd,true/gate1 better than altered,0.061433875078432315,0.010921127886271484,0.11389562705767665,0.9922,20000,3266816353122354653
Transfer-All,25,chemistry_true_vs_mean_3shuffle,pose_density_rmsd_lt2,true chemistry better than mean shuffle,0.01298377028714107,0.0007459425717852635,0.02496878901373283,0.98175,20000,6291928445571946669
Transfer-All,25,chemistry_true_vs_mean_3shuffle,best_of_k10_coverage_rmsd_lt2,true chemistry better than mean shuffle,0.0387016229712859,0.007490636704119851,0.07365792759051187,0.99565,20000,1138100707885949695
Transfer-All,25,chemistry_true_vs_mean_3shuffle,best_of_k10_rmsd,true chemistry better than mean shuffle,0.04208736371083052,0.006766864693024486,0.08005458491369721,0.9906,20000,10043073468006288667
Transfer-All,100,surface_gate_true_vs_off,pose_density_rmsd_lt2,true/gate1 better than altered,0.3146067415730337,0.2794007490636704,0.351310861423221,1.0,20000,15068931097303138979
Transfer-All,100,surface_gate_true_vs_off,best_of_k10_coverage_rmsd_lt2,true/gate1 better than altered,0.7415730337078652,0.6779026217228464,0.801498127340824,1.0,20000,1883244860002390034
Transfer-All,100,surface_gate_true_vs_off,best_of_k10_rmsd,true/gate1 better than altered,6.639796755141726,6.38340585173981,6.89638846027196,1.0,20000,3752607858268319604
Transfer-All,100,chemistry_true_vs_shuffle_20260911,pose_density_rmsd_lt2,true/gate1 better than altered,0.01348314606741573,0.0007490636704119858,0.025468164794007497,0.98115,20000,14024665479853907048
Transfer-All,100,chemistry_true_vs_shuffle_20260911,best_of_k10_coverage_rmsd_lt2,true/gate1 better than altered,0.0149812734082397,-0.0149812734082397,0.0449438202247191,0.8079,20000,2887424354973216433
Transfer-All,100,chemistry_true_vs_shuffle_20260911,best_of_k10_rmsd,true/gate1 better than altered,-0.02636950373832576,-0.12910307878871422,0.07519202724483476,0.30165,20000,13716554158689515869
Transfer-All,100,chemistry_true_vs_shuffle_20260912,pose_density_rmsd_lt2,true/gate1 better than altered,0.015730337078651686,0.0007490636704119841,0.031460674157303366,0.97975,20000,11892133772123285370
Transfer-All,100,chemistry_true_vs_shuffle_20260912,best_of_k10_coverage_rmsd_lt2,true/gate1 better than altered,0.003745318352059925,-0.0299625468164794,0.03745318352059925,0.5459,20000,14766875951705593547
Transfer-All,100,chemistry_true_vs_shuffle_20260912,best_of_k10_rmsd,true/gate1 better than altered,0.028570046144060737,-0.035526207039483414,0.10796918963343768,0.7749,20000,4867557128483558972
Transfer-All,100,chemistry_true_vs_shuffle_20260913,pose_density_rmsd_lt2,true/gate1 better than altered,0.016104868913857682,0.0007490636704119892,0.031460674157303366,0.9817,20000,3938661645547119986
Transfer-All,100,chemistry_true_vs_shuffle_20260913,best_of_k10_coverage_rmsd_lt2,true/gate1 better than altered,0.026217228464419477,-0.018726591760299626,0.07865168539325842,0.83485,20000,12604297805169399525
Transfer-All,100,chemistry_true_vs_shuffle_20260913,best_of_k10_rmsd,true/gate1 better than altered,0.009713230993562583,-0.07043625727998586,0.08509710756974595,0.601,20000,10742971035859740744
Transfer-All,100,chemistry_true_vs_mean_3shuffle,pose_density_rmsd_lt2,true chemistry better than mean shuffle,0.015106117353308367,0.0029962546816479467,0.02746566791510612,0.99355,20000,8129061386339934839
Transfer-All,100,chemistry_true_vs_mean_3shuffle,best_of_k10_coverage_rmsd_lt2,true chemistry better than mean shuffle,0.014981273408239704,-0.014981273408239695,0.046192259675405745,0.8433,20000,4471831319020862299
Transfer-All,100,chemistry_true_vs_mean_3shuffle,best_of_k10_rmsd,true chemistry better than mean shuffle,0.003971257799765883,-0.06663321805183842,0.07343690241793134,0.5524,20000,12813530490985848713
Transfer-All,200,surface_gate_true_vs_off,pose_density_rmsd_lt2,true/gate1 better than altered,0.34644194756554314,0.30823970037453186,0.3857677902621723,1.0,20000,15718864710957486302
Transfer-All,200,surface_gate_true_vs_off,best_of_k10_coverage_rmsd_lt2,true/gate1 better than altered,0.7340823970037453,0.6704119850187266,0.797752808988764,1.0,20000,4295115044244714827
Transfer-All,200,surface_gate_true_vs_off,best_of_k10_rmsd,true/gate1 better than altered,6.6441472374070045,6.367986922620529,6.918150558736456,1.0,20000,11662022704836483090
Transfer-All,200,chemistry_true_vs_shuffle_20260911,pose_density_rmsd_lt2,true/gate1 better than altered,0.020599250936329586,0.006741573033707863,0.0348314606741573,0.9971,20000,8465010059267768253
Transfer-All,200,chemistry_true_vs_shuffle_20260911,best_of_k10_coverage_rmsd_lt2,true/gate1 better than altered,0.0149812734082397,-0.04119850187265917,0.06367041198501873,0.7008,20000,7215073680545259993
Transfer-All,200,chemistry_true_vs_shuffle_20260911,best_of_k10_rmsd,true/gate1 better than altered,0.042814038387440405,-0.06491805770098621,0.15295707148068394,0.78855,20000,7010832630896794231
Transfer-All,200,chemistry_true_vs_shuffle_20260912,pose_density_rmsd_lt2,true/gate1 better than altered,0.027715355805243445,0.01048689138576779,0.046067415730337076,0.9994,20000,3305519365420985764
Transfer-All,200,chemistry_true_vs_shuffle_20260912,best_of_k10_coverage_rmsd_lt2,true/gate1 better than altered,0.018726591760299626,-0.018726591760299626,0.05243445692883895,0.8231,20000,13921911032451502323
Transfer-All,200,chemistry_true_vs_shuffle_20260912,best_of_k10_rmsd,true/gate1 better than altered,0.04400915423814158,-0.08528174751563138,0.18160302069110962,0.7435,20000,16675085133023907301
Transfer-All,200,chemistry_true_vs_shuffle_20260913,pose_density_rmsd_lt2,true/gate1 better than altered,0.014606741573033705,-0.00149812734082397,0.031086142322097377,0.96035,20000,14764562241537261854
Transfer-All,200,chemistry_true_vs_shuffle_20260913,best_of_k10_coverage_rmsd_lt2,true/gate1 better than altered,0.018726591760299626,-0.0149812734082397,0.0599250936329588,0.81415,20000,9039167332578664339
Transfer-All,200,chemistry_true_vs_shuffle_20260913,best_of_k10_rmsd,true/gate1 better than altered,-0.007430246431229218,-0.11394105524426243,0.09960611926315507,0.43635,20000,15959995974161286137
Transfer-All,200,chemistry_true_vs_mean_3shuffle,pose_density_rmsd_lt2,true chemistry better than mean shuffle,0.020973782771535585,0.00786516853932584,0.03458177278401998,0.9995,20000,15458822267623997714
Transfer-All,200,chemistry_true_vs_mean_3shuffle,best_of_k10_coverage_rmsd_lt2,true chemistry better than mean shuffle,0.01747815230961299,-0.01872659176029962,0.05243445692883896,0.8368,20000,9037192547456326860
Transfer-All,200,chemistry_true_vs_mean_3shuffle,best_of_k10_rmsd,true chemistry better than mean shuffle,0.026464315398117583,-0.07840201540435114,0.12619216789126145,0.7022,20000,7059603141378161344
Transfer-NonSurface,25,surface_gate_true_vs_off,pose_density_rmsd_lt2,true/gate1 better than altered,0.052808988764044947,0.039700374531835204,0.06741573033707865,1.0,20000,4301018730549586789
Transfer-NonSurface,25,surface_gate_true_vs_off,best_of_k10_coverage_rmsd_lt2,true/gate1 better than altered,0.2846441947565543,0.22846441947565543,0.3408239700374532,1.0,20000,14172168471980068605
Transfer-NonSurface,25,surface_gate_true_vs_off,best_of_k10_rmsd,true/gate1 better than altered,5.207343274488168,4.931283223165084,5.477120368440232,1.0,20000,496724544588698806
Transfer-NonSurface,25,chemistry_true_vs_shuffle_20260911,pose_density_rmsd_lt2,true/gate1 better than altered,-3.1186040017560576e-19,-0.0022471910112359553,0.0022471910112359544,0.44095,20000,7961063767133708162
Transfer-NonSurface,25,chemistry_true_vs_shuffle_20260911,best_of_k10_coverage_rmsd_lt2,true/gate1 better than altered,0.003745318352059925,0.0,0.0149812734082397,0.5069,20000,11699432340730248455
Transfer-NonSurface,25,chemistry_true_vs_shuffle_20260911,best_of_k10_rmsd,true/gate1 better than altered,0.004413453248596992,-0.017676411924028693,0.026851497587719892,0.6541,20000,16736270744882515394
Transfer-NonSurface,25,chemistry_true_vs_shuffle_20260912,pose_density_rmsd_lt2,true/gate1 better than altered,0.000749063670411985,-0.0011235955056179772,0.00299625468164794,0.77775,20000,9446132672872395913
Transfer-NonSurface,25,chemistry_true_vs_shuffle_20260912,best_of_k10_coverage_rmsd_lt2,true/gate1 better than altered,0.0,0.0,0.0,0.0,20000,1476827327470873585
Transfer-NonSurface,25,chemistry_true_vs_shuffle_20260912,best_of_k10_rmsd,true/gate1 better than altered,0.01047452134514962,-0.01141878569251541,0.033671313241379376,0.8244,20000,9574241210688021837
Transfer-NonSurface,25,chemistry_true_vs_shuffle_20260913,pose_density_rmsd_lt2,true/gate1 better than altered,0.00149812734082397,-0.0007490636704119846,0.004119850187265918,0.91825,20000,13481121612058858868
Transfer-NonSurface,25,chemistry_true_vs_shuffle_20260913,best_of_k10_coverage_rmsd_lt2,true/gate1 better than altered,0.003745318352059925,0.0,0.0149812734082397,0.5071,20000,9622154608473144856
Transfer-NonSurface,25,chemistry_true_vs_shuffle_20260913,best_of_k10_rmsd,true/gate1 better than altered,0.01852220321967356,-0.005512811337044993,0.04695672521069193,0.926,20000,13525898694137537041
Transfer-NonSurface,25,chemistry_true_vs_mean_3shuffle,pose_density_rmsd_lt2,true chemistry better than mean shuffle,0.0007490636704119815,-0.0011235955056179796,0.0028714107365792716,0.76515,20000,1230325432803735128
Transfer-NonSurface,25,chemistry_true_vs_mean_3shuffle,best_of_k10_coverage_rmsd_lt2,true chemistry better than mean shuffle,0.002496878901373284,0.0,0.009987515605493135,0.5107,20000,4471948897252199064
Transfer-NonSurface,25,chemistry_true_vs_mean_3shuffle,best_of_k10_rmsd,true chemistry better than mean shuffle,0.011136725937806702,-0.008053848046488156,0.032510482904276605,0.8692,20000,7177144980966921429
Transfer-NonSurface,100,surface_gate_true_vs_off,pose_density_rmsd_lt2,true/gate1 better than altered,0.1861423220973783,0.15805243445692885,0.21460674157303372,1.0,20000,15993305628612738899
Transfer-NonSurface,100,surface_gate_true_vs_off,best_of_k10_coverage_rmsd_lt2,true/gate1 better than altered,0.5955056179775281,0.5280898876404495,0.6591760299625468,1.0,20000,10195437700608336165
Transfer-NonSurface,100,surface_gate_true_vs_off,best_of_k10_rmsd,true/gate1 better than altered,6.348665511636379,6.068002533949421,6.623047330660738,1.0,20000,8179369989278656661
Transfer-NonSurface,100,chemistry_true_vs_shuffle_20260911,pose_density_rmsd_lt2,true/gate1 better than altered,0.003745318352059925,-0.0033707865168539335,0.010112359550561799,0.8545,20000,11403786736442188334
Transfer-NonSurface,100,chemistry_true_vs_shuffle_20260911,best_of_k10_coverage_rmsd_lt2,true/gate1 better than altered,0.00749063670411985,-0.0149812734082397,0.033707865168539325,0.6734,20000,8061304253269203496
Transfer-NonSurface,100,chemistry_true_vs_shuffle_20260911,best_of_k10_rmsd,true/gate1 better than altered,0.005659496814806137,-0.028901332238120494,0.0403165193074578,0.63005,20000,16241161839605946602
Transfer-NonSurface,100,chemistry_true_vs_shuffle_20260912,pose_density_rmsd_lt2,true/gate1 better than altered,0.00749063670411985,-0.0014981273408239681,0.01647940074906367,0.95275,20000,11516713858200356115
Transfer-NonSurface,100,chemistry_true_vs_shuffle_20260912,best_of_k10_coverage_rmsd_lt2,true/gate1 better than altered,0.0299625468164794,0.0,0.06741573033707865,0.9569,20000,6840008870997872125
Transfer-NonSurface,100,chemistry_true_vs_shuffle_20260912,best_of_k10_rmsd,true/gate1 better than altered,0.008630880489553877,-0.02216186362342368,0.0434848150080207,0.69585,20000,4196417430306900619
Transfer-NonSurface,100,chemistry_true_vs_shuffle_20260913,pose_density_rmsd_lt2,true/gate1 better than altered,0.006741573033707866,-0.002247191011235955,0.016853932584269662,0.92315,20000,17415499112411247931
Transfer-NonSurface,100,chemistry_true_vs_shuffle_20260913,best_of_k10_coverage_rmsd_lt2,true/gate1 better than altered,0.00749063670411985,-0.02247191011235955,0.03745318352059925,0.63915,20000,17870087101657405499
Transfer-NonSurface,100,chemistry_true_vs_shuffle_20260913,best_of_k10_rmsd,true/gate1 better than altered,0.005476848151902865,-0.025400481657914566,0.03931916926601554,0.62115,20000,13469852909550100949
Transfer-NonSurface,100,chemistry_true_vs_mean_3shuffle,pose_density_rmsd_lt2,true chemistry better than mean shuffle,0.005992509363295879,-0.0002496878901373301,0.012359550561797753,0.96965,20000,8828269992061699741
Transfer-NonSurface,100,chemistry_true_vs_mean_3shuffle,best_of_k10_coverage_rmsd_lt2,true chemistry better than mean shuffle,0.0149812734082397,-0.007490636704119848,0.041198501872659186,0.9031,20000,11245323554269870644
Transfer-NonSurface,100,chemistry_true_vs_mean_3shuffle,best_of_k10_rmsd,true chemistry better than mean shuffle,0.006589075152087618,-0.020041204435871905,0.037654456497920284,0.65995,20000,3415331624707545735
Transfer-NonSurface,200,surface_gate_true_vs_off,pose_density_rmsd_lt2,true/gate1 better than altered,0.2853932584269662,0.24981273408239701,0.32134831460674157,1.0,20000,5292735015125000462
Transfer-NonSurface,200,surface_gate_true_vs_off,best_of_k10_coverage_rmsd_lt2,true/gate1 better than altered,0.6741573033707865,0.6104868913857678,0.7378277153558052,1.0,20000,1000769835556124180
