arm,training_seed,epoch,condition_id,gate_alpha,chemistry_condition,shuffle_seed,pose_density_rmsd_lt2,best_of_k10_coverage_rmsd_lt2,best_of_k10_rmsd
Transfer-All,0,25,baseline_true_gate1,1.0,true_chemistry,none,0.19101123595505617,0.6067415730337079,2.106206071123364
Transfer-All,0,25,surface_off_true_gate0,0.0,true_chemistry,none,0.0,0.0,8.60070566512264
Transfer-All,0,25,chemistry_shuffle_20260911,1.0,joint_shuffled_chemistry,20260911,0.1808988764044944,0.5842696629213483,2.1033994255291533
Transfer-All,0,25,chemistry_shuffle_20260912,1.0,joint_shuffled_chemistry,20260912,0.19325842696629214,0.6179775280898876,2.130722911250609
Transfer-All,0,25,chemistry_shuffle_20260913,1.0,joint_shuffled_chemistry,20260913,0.1853932584269663,0.5842696629213483,2.161421376845397
Transfer-All,0,100,baseline_true_gate1,1.0,true_chemistry,none,0.32359550561797756,0.7415730337078652,1.9820490470167496
Transfer-All,0,100,surface_off_true_gate0,0.0,true_chemistry,none,0.0,0.0,8.637286145245838
Transfer-All,0,100,chemistry_shuffle_20260911,1.0,joint_shuffled_chemistry,20260911,0.3089887640449438,0.7303370786516854,2.0409277822031453
Transfer-All,0,100,chemistry_shuffle_20260912,1.0,joint_shuffled_chemistry,20260912,0.31797752808988766,0.7415730337078652,2.0520318110457794
Transfer-All,0,100,chemistry_shuffle_20260913,1.0,joint_shuffled_chemistry,20260913,0.3157303370786517,0.7415730337078652,1.99880088410844
Transfer-All,0,200,baseline_true_gate1,1.0,true_chemistry,none,0.34494382022471914,0.7752808988764045,1.9561660654938895
Transfer-All,0,200,surface_off_true_gate0,0.0,true_chemistry,none,0.0,0.0,8.660043842777291
Transfer-All,0,200,chemistry_shuffle_20260911,1.0,joint_shuffled_chemistry,20260911,0.32696629213483147,0.7191011235955056,2.0603280225918543
Transfer-All,0,200,chemistry_shuffle_20260912,1.0,joint_shuffled_chemistry,20260912,0.31460674157303375,0.7415730337078652,2.0943872553793783
Transfer-All,0,200,chemistry_shuffle_20260913,1.0,joint_shuffled_chemistry,20260913,0.33483146067415737,0.7303370786516854,1.9464222732262655
Transfer-All,1,25,baseline_true_gate1,1.0,true_chemistry,none,0.20224719101123595,0.6404494382022472,2.1634150279112356
Transfer-All,1,25,surface_off_true_gate0,0.0,true_chemistry,none,0.0,0.0,8.664319867236296
Transfer-All,1,25,chemistry_shuffle_20260911,1.0,joint_shuffled_chemistry,20260911,0.1752808988764045,0.5842696629213483,2.208797645148923
