family,contrast,metric,endpoint,epoch,noise_level,effect_definition,higher_is_better,raw_estimate,raw_ci_low,raw_ci_high,favorable_estimate,favorable_ci_low,favorable_ci_high,bootstrap_replicates,bootstrap_seed,n_training_seeds,n_paired_complexes,favorable_seed_directions,zero_seed_directions
validation_task,Transfer-All-minus-Transfer-NonSurface,pose_density_lt2,epoch_25,25,,Transfer-All minus Transfer-NonSurface,True,0.14232209737827714,0.11947565543071163,0.16666666666666666,0.14232209737827714,0.11947565543071163,0.16666666666666666,10000,20260903,3,89,3,0
validation_task,Transfer-All-minus-Transfer-NonSurface,pose_density_lt2,epoch_200,200,,Transfer-All minus Transfer-NonSurface,True,0.061048689138576785,0.040074906367041196,0.08202247191011236,0.061048689138576785,0.040074906367041196,0.08202247191011236,10000,20260903,3,89,3,0
validation_task,Transfer-All-minus-Transfer-NonSurface,pose_density_lt2,AULC_25_200,,,AULC(Transfer-All) minus AULC(Transfer-NonSurface),True,0.11388443017656502,0.09435527019796681,0.13528624933119313,0.11388443017656502,0.09435527019796681,0.13528624933119313,10000,20260903,3,89,3,0
validation_task,Transfer-All-minus-Transfer-NonSurface,best_of_k10_lt2,epoch_25,25,,Transfer-All minus Transfer-NonSurface,True,0.3408239700374532,0.27715355805243447,0.40449438202247195,0.3408239700374532,0.27715355805243447,0.40449438202247195,10000,20260903,3,89,3,0
validation_task,Transfer-All-minus-Transfer-NonSurface,best_of_k10_lt2,epoch_200,200,,Transfer-All minus Transfer-NonSurface,True,0.0599250936329588,-0.018726591760299626,0.1385767790262172,0.0599250936329588,-0.018726591760299626,0.1385767790262172,10000,20260903,3,89,2,0
validation_task,Transfer-All-minus-Transfer-NonSurface,best_of_k10_lt2,AULC_25_200,,,AULC(Transfer-All) minus AULC(Transfer-NonSurface),True,0.15436062065275546,0.11744248261102193,0.19262306046013902,0.15436062065275546,0.11744248261102193,0.19262306046013902,10000,20260903,3,89,3,0
validation_task,Transfer-All-minus-Transfer-NonSurface,best_rmsd,epoch_25,25,,Transfer-All minus Transfer-NonSurface,False,-1.2269962948436437,-1.4452452534599154,-1.0335799646652006,1.2269962948436437,1.0335799646652006,1.4452452534599154,10000,20260903,3,89,3,0
validation_task,Transfer-All-minus-Transfer-NonSurface,best_rmsd,epoch_200,200,,Transfer-All minus Transfer-NonSurface,False,-0.18263636345175563,-0.3883961699958114,0.006224775507371552,0.18263636345175563,-0.006224775507371552,0.3883961699958114,10000,20260903,3,89,3,0
validation_task,Transfer-All-minus-Transfer-NonSurface,best_rmsd,AULC_25_200,,,AULC(Transfer-All) minus AULC(Transfer-NonSurface),False,-0.37561285654132454,-0.4680934270353594,-0.28039198482675753,0.37561285654132454,0.28039198482675753,0.4680934270353594,10000,20260903,3,89,3,0
validation_task,Transfer-All-minus-Transfer-NonSurface,valid_pose_rate,epoch_25,25,,Transfer-All minus Transfer-NonSurface,True,0.0,0.0,0.0,0.0,0.0,0.0,10000,20260903,3,89,0,3
validation_task,Transfer-All-minus-Transfer-NonSurface,valid_pose_rate,epoch_200,200,,Transfer-All minus Transfer-NonSurface,True,0.0,0.0,0.0,0.0,0.0,0.0,10000,20260903,3,89,0,3
validation_task,Transfer-All-minus-Transfer-NonSurface,valid_pose_rate,AULC_25_200,,,AULC(Transfer-All) minus AULC(Transfer-NonSurface),True,0.0,0.0,0.0,0.0,0.0,0.0,10000,20260903,3,89,0,3
G_surface,Transfer-All,combined_alignment,epoch_25,25,all,A(alpha=1)-A(alpha=0) in Transfer-All,True,0.5003226387508893,0.48614418670834014,0.5149215539946228,0.5003226387508893,0.48614418670834014,0.5149215539946228,10000,20260903,3,89,3,0
G_surface,Transfer-All,combined_alignment,epoch_200,200,all,A(alpha=1)-A(alpha=0) in Transfer-All,True,0.49345969492223674,0.4781689521253668,0.5093613624160256,0.49345969492223674,0.4781689521253668,0.5093613624160256,10000,20260903,3,89,3,0
G_surface,Transfer-All,combined_alignment,AULC_25_200,,all,AULC of A(alpha=1)-A(alpha=0) in Transfer-All,True,0.498168296710048,0.4839085324286786,0.5131940515905662,0.498168296710048,0.4839085324286786,0.5131940515905662,10000,20260903,3,89,3,0
G_surface,Transfer-All,translation_cosine,epoch_25,25,all,A(alpha=1)-A(alpha=0) in Transfer-All,True,0.7607808320766414,0.7384836716827242,0.7825237262301898,0.7607808320766414,0.7384836716827242,0.7825237262301898,10000,20260903,3,89,3,0
G_surface,Transfer-All,translation_cosine,epoch_200,200,all,A(alpha=1)-A(alpha=0) in Transfer-All,True,0.7534093529510626,0.7300031863756185,0.7766603208485721,0.7534093529510626,0.7300031863756185,0.7766603208485721,10000,20260903,3,89,3,0
G_surface,Transfer-All,translation_cosine,AULC_25_200,,all,AULC of A(alpha=1)-A(alpha=0) in Transfer-All,True,0.7611194121381287,0.738741072623117,0.7836309296369536,0.7611194121381287,0.738741072623117,0.7836309296369536,10000,20260903,3,89,3,0
G_surface,Transfer-All,rotation_cosine,epoch_25,25,all,A(alpha=1)-A(alpha=0) in Transfer-All,True,0.6488580736585597,0.6265070424980385,0.6709666124014333,0.6488580736585597,0.6265070424980385,0.6709666124014333,10000,20260903,3,89,3,0
