split,pdb_id
train,11gs
train,1a42
train,1a4h
train,1a52
train,1a5v
train,1a7t
train,1a85
train,1a86
train,1abf
train,1akq
train,1akr
train,1akt
train,1aku
train,1akv
train,1akw
train,1anf
train,1ao0
train,1avd
train,1aw1
train,1awf
train,1azg
train,1azx
train,1b4d
train,1b56
train,1b6m
train,1b6p
train,1b74
train,1ba8
train,1bbz
train,1bil
train,1bim
train,1biw
train,1bky
train,1bl6
train,1bl7
train,1bm2
train,1bmb
train,1bmk
train,1bmm
train,1bmn
train,1bq3
train,1bqo
train,1bsk
train,1bug
train,1c12
train,1c2t
train,1c3b
train,1c3i
train,1c3r
train,1c5z
train,1c6y
train,1c7e
train,1c7f
train,1c85
train,1c8k
train,1cil
train,1cim
train,1cin
train,1cj1
train,1cka
train,1ckb
train,1cr6
train,1cs4
train,1csh
train,1csi
train,1csr
train,1css
train,1d5j
train,1d5r
train,1d7x
train,1d8e
train,1dmb
train,1doj
train,1dtt
train,1dub
train,1dx6
train,1dxp
train,1dzm
train,1e00
train,1e02
train,1e06
train,1e1y
train,1e55
train,1e8h
train,1e9h
train,1eix
train,1ek1
train,1ek2
train,1eou
train,1etz
train,1eve
train,1f0q
train,1f1j
train,1f28
train,1f92
train,1f9g
train,1fax
train,1ff1
train,1fj4
train,1fls
train,1fmb
train,1fo2
train,1fo3
train,1fpp
train,1ft4
train,1fta
train,1fvt
train,1fyr
train,1g27
train,1g2a
train,1g2m
train,1g4j
train,1g6g
train,1gbq
train,1gcz
train,1gfw
train,1gfz
train,1ggn
train,1gja
train,1gjd
train,1gmy
train,1gux
train,1gx4
train,1gym
train,1gz3
train,1gz9
train,1gzc
train,1gzv
train,1h1h
train,1h24
train,1h25
train,1h28
train,1h2u
train,1h4n
train,1h60
train,1h61
train,1h62
train,1h79
train,1h7a
train,1hef
train,1heg
train,1hlf
train,1hnn
train,1hp0
train,1hqf
train,1hs6
train,1htf
train,1hty
train,1hxk
train,1i32
train,1i33
train,1i43
train,1i48
train,1i6v
train,1i72
train,1i7c
train,1i8j
train,1i8z
train,1i90
train,1i91
train,1i9l
train,1i9m
train,1i9o
train,1i9q
train,1iau
train,1ida
train,1idb
train,1iem
train,1iep
train,1iew
train,1iig
train,1ikx
train,1iky
train,1il5
train,1il9
train,1imx
train,1ind
train,1it6
train,1iup
train,1j5i
train,1jd0
train,1jfh
train,1jii
train,1jik
train,1jil
train,1jk7
train,1jld
train,1jlq
train,1jlx
train,1joc
train,1jq3
train,1k08
train,1k3t
train,1ka7
train,1kcs
train,1kdw
train,1ke0
train,1ke8
train,1kf6
train,1kkq
train,1kll
train,1kna
train,1kne
train,1ktt
train,1kvo
train,1kyn
train,1l5q
train,1l5s
train,1l6s
train,1l7x
train,1lb6
train,1lcj
train,1ld7
train,1ld8
train,1lkx
train,1lor
train,1los
train,1lqd
train,1lqf
train,1lv8
train,1lvc
train,1m21
train,1m5b
train,1m5d
train,1m5e
train,1m5f
train,1m7q
train,1mau
train,1mcz
train,1me7
train,1meu
train,1mf4
train,1mm6
train,1mnc
train,1mpa
train,1mpl
train,1mqg
train,1ms0
train,1ms6
train,1mv0
train,1mxu
train,1my2
train,1my3
train,1mzc
train,1n0t
train,1n3w
train,1n43
train,1n7i
train,1n8v
train,1n95
train,1n9a
train,1n9m
train,1nd5
train,1ndj
train,1ni1
train,1nnk
train,1noj
train,1nok
train,1nox
train,1npa
train,1npv
train,1ntk
train,1nu1
train,1nu8
train,1o41
train,1o42
train,1o43
train,1o44
train,1o45
train,1o46
train,1o49
train,1o4a
train,1o4b
train,1o4d
train,1o4e
train,1o4h
train,1o4i
train,1o4k
train,1o4l
train,1o4m
train,1o4n
train,1o4o
train,1o4p
train,1o4q
train,1o4r
train,1o5b
train,1oai
train,1oay
train,1oe7
train,1oeb
train,1ofz
train,1ogu
train,1okw
train,1ol1
train,1ol2
train,1onh
train,1onp
train,1osv
train,1oth
train,1ouk
train,1ouy
train,1ow6
train,1ow8
train,1owd
train,1owi
train,1owj
train,1oyn
train,1p0y
train,1p17
train,1p2g
train,1p93
train,1pau
train,1pbk
train,1pdq
train,1pfy
train,1pmn
train,1pmu
train,1ppw
train,1pun
train,1puq
train,1pus
train,1pxh
train,1pxi
train,1pxj
train,1py1
train,1pyg
train,1q0b
train,1q3d
train,1q41
train,1q4k
train,1q6j
train,1q6m
train,1q6n
train,1q6p
train,1q6t
train,1q9m
train,1qku
train,1qm5
train,1qon
train,1qpb
train,1qpe
train,1qti
train,1qvt
train,1qvu
train,1qwu
train,1qx1
train,1qxw
train,1qxy
train,1r4w
train,1r6n
train,1r6z
train,1rdi
train,1rdj
train,1rdl
train,1re1
train,1rev
train,1rhj
train,1rhk
train,1rhm
train,1rhq
train,1rhr
train,1rhu
train,1riw
train,1ros
train,1rt1
train,1rt2
train,1rth
train,1rti
train,1rtl
train,1rwq
train,1rww
train,1rwx
train,1s17
train,1s26
train,1s3k
train,1s63
train,1s64
train,1s9t
train,1s9v
train,1skj
train,1so2
train,1sqb
train,1sqc
train,1sqp
train,1sqq
train,1sre
train,1sri
train,1stp
train,1swi
train,1swk
train,1swn
train,1swp
train,1syo
train,1sz0
train,1t13
train,1t2v
train,1t3t
train,1t46
train,1t69
train,1t7r
train,1tkt
train,1tkx
train,1tkz
train,1tl1
train,1tl3
train,1tl9
train,1tou
train,1tr7
train,1tsi
train,1tt1
train,1ttv
train,1tv6
train,1tze
train,1u0h
train,1u2y
train,1u32
train,1u3q
train,1u3r
train,1u3s
train,1u59
train,1u65
train,1u6q
train,1u9e
train,1u9l
train,1u9q
train,1u9v
train,1u9w
train,1u9x
train,1ujk
train,1ukh
train,1uti
train,1utr
train,1uvr
train,1uyd
train,1uye
train,1uyf
train,1v0p
train,1v79
train,1vcj
train,1vcu
train,1vij
train,1vik
train,1vot
train,1vrt
train,1vru
train,1w0x
train,1w25
train,1w31
train,1w4l
train,1w6j
train,1w6r
train,1w76
train,1wbo
train,1wss
train,1wtg
train,1wum
train,1wxz
train,1x0n
train,1x76
train,1x7a
train,1x7b
train,1xdd
train,1xgj
train,1xlx
train,1xlz
train,1xmy
train,1xn3
train,1xnz
train,1xog
train,1xom
train,1xon
train,1xoq
train,1xor
train,1xp1
train,1xp6
train,1xp9
train,1xpc
train,1xsc
train,1xuc
train,1xud
train,1xur
train,1xxe
train,1xxh
train,1y2c
train,1y2d
train,1y2e
train,1y2g
train,1y2h
train,1y2k
train,1y57
train,1ya4
train,1ybo
train,1yci
train,1ycm
train,1yhs
train,1yi3
train,1yid
train,1ykp
train,1ym2
train,1ym4
train,1yms
train,1you
train,1yrs
train,1yt7
train,1yt9
train,1yvf
train,1yvh
train,1yvz
train,1ywi
train,1yxd
train,1yy4
train,1yye
train,1yyr
train,1yys
train,1z34
train,1z3c
train,1z3j
train,1z3t
train,1z4n
train,1z4u
train,1z5m
train,1z6f
train,1z6q
train,1z9h
train,1zd2
train,1zd3
train,1zd4
train,1zd5
train,1zeo
train,1zfk
train,1zm7
train,1zom
train,1zpb
train,1zpc
train,1zsb
train,1zsr
train,1zuc
train,1zxc
train,1zyr
train,1zz1
train,1zz3
train,223l
train,2a2g
train,2a3b
train,2a3i
train,2a4g
train,2a4q
train,2a4r
train,2a8h
train,2ad5
train,2aeb
train,2aei
train,2ael
train,2aez
train,2am9
train,2an5
train,2ao6
train,2aof
train,2aoi
train,2aoj
train,2aq7
train,2avi
train,2avv
train,2aw1
train,2ax6
train,2axi
train,2az8
train,2az9
train,2ban
train,2bbb
train,2bdf
train,2bdj
train,2bdl
train,2bdy
train,2be2
train,2bks
train,2bkt
train,2bmc
train,2bpx
train,2br6
train,2br8
train,2brg
train,2brh
train,2brp
train,2bub
train,2c1a
train,2c1b
train,2c1q
train,2c4v
train,2c57
train,2c5o
train,2cbr
train,2cbs
train,2cem
train,2ceo
train,2cgu
train,2cgw
train,2ckm
train,2cmf
train,2cmo
train,2csm
train,2d2v
train,2d41
train,2dbl
train,2dq7
train,2dua
train,2e7l
train,2e93
train,2e98
train,2e99
train,2esm
train,2etk
train,2etm
train,2etr
train,2eum
train,2evc
train,2evm
train,2ew5
train,2ew6
train,2f01
train,2f18
train,2f1b
train,2f3e
train,2f3f
train,2f5t
train,2f6j
train,2f8i
train,2f9v
train,2fda
train,2fdd
train,2fde
train,2fj0
train,2fky
train,2fl2
train,2fl6
train,2fm2
train,2fm5
train,2fr8
train,2fs8
train,2fs9
train,2fsa
train,2fv9
train,2fw3
train,2fwp
train,2fwy
train,2fwz
train,2fxr
train,2fys
train,2fyv
train,2g0g
train,2g19
train,2g1q
train,2g24
train,2g6q
train,2g70
train,2g71
train,2g72
train,2g83
train,2g96
train,2g97
train,2gbf
train,2gbg
train,2gc8
train,2gfa
train,2gg8
train,2ggb
train,2gh6
train,2gh7
train,2glm
train,2gmk
train,2gnf
train,2gph
train,2gpp
train,2gu8
train,2gvd
train,2gvf
train,2gvz
train,2gz7
train,2h02
train,2h13
train,2h1h
train,2h23
train,2h2e
train,2h2j
train,2h5i
train,2h5j
train,2h65
train,2h6k
train,2h8h
train,2h9t
train,2ha0
train,2ha4
train,2ha5
train,2ha7
train,2hdu
train,2hiw
train,2hiz
train,2hk5
train,2hm1
train,2hmb
train,2hny
train,2hs2
train,2hw2
train,2hwh
train,2hwi
train,2hz4
train,2i0d
train,2i0h
train,2i0v
train,2i0y
train,2i1m
train,2i3z
train,2ie4
train,2ieh
train,2ien
train,2igv
train,2igw
train,2ioa
train,2iqg
train,2ito
train,2ity
train,2iv9
train,2iw6
train,2izx
train,2j9a
train,2j9h
train,2j9l
train,2jal
train,2jbj
train,2jbk
train,2jbv
train,2jc0
train,2jk9
train,2jkr
train,2jkt
train,2jmj
train,2jo9
train,2jqk
train,2jql
train,2k0g
train,2k4i
train,2kbr
train,2kgi
train,2knh
train,2ko7
train,2koh
train,2l0i
train,2l7u
train,2l8j
train,2lcs
train,2lk1
train,2lo6
train,2lsr
train,2lty
train,2lya
train,2lyb
train,2m3m
train,2m3o
train,2mip
train,2mow
train,2mpa
train,2n06
train,2n0u
train,2n1g
train,2nmb
train,2nmy
train,2nn8
train,2nnk
train,2nnp
train,2no3
train,2np8
train,2ntf
train,2nv7
train,2nyr
train,2o1c
train,2o3p
train,2o3z
train,2o4h
train,2o4p
train,2o4s
train,2o5d
train,2o63
train,2o64
train,2o65
train,2o7v
train,2o9i
train,2o9r
train,2obf
train,2obj
train,2obo
train,2oc0
train,2oc7
train,2oei
train,2of2
train,2of4
train,2ofu
train,2ogz
train,2oi9
train,2on3
train,2ony
train,2onz
train,2ooz
train,2opb
train,2oq6
train,2oqi
train,2oqs
train,2or4
train,2or9
train,2os9
train,2osf
train,2osm
train,2ou7
train,2ovq
train,2ow3
train,2ow6
train,2ow7
train,2oz6
train,2ozr
train,2p1c
train,2p3d
train,2p83
train,2pax
train,2pcu
train,2pg2
train,2pgj
train,2pgl
train,2ph9
train,2pix
train,2pl0
train,2pmk
train,2pmn
train,2pnx
train,2poq
train,2prj
train,2puy
train,2pvn
train,2pzi
train,2q2y
train,2q72
train,2q7m
train,2q7y
train,2q80
train,2q8g
train,2q9m
train,2q9n
train,2q9y
train,2qaf
train,2qcd
train,2qcf
train,2qcg
train,2qch
train,2qe2
train,2qe5
train,2qic
train,2qk5
train,2qk8
train,2qmf
train,2qmj
train,2qn2
train,2qnz
train,2qo8
train,2qoa
train,2qp6
train,2qt5
train,2qu3
train,2qyl
train,2qyn
train,2r1x
train,2r2b
train,2r2l
train,2r5q
train,2r9m
train,2rc8
train,2rc9
train,2rfy
train,2rgp
train,2rgu
train,2rjp
train,2rku
train,2rol
train,2rox
train,2sfp
train,2upj
train,2uyi
train,2uym
train,2uyw
train,2uz6
train,2uzd
train,2uze
train,2v0z
train,2v10
train,2v11
train,2v16
train,2vcg
train,2vcw
train,2vd0
train,2vd1
train,2vd4
train,2vd7
train,2vf6
train,2vj1
train,2vl1
train,2vpg
train,2vpp
train,2vrx
train,2vvo
train,2vwf
train,2vwx
train,2vwy
train,2vwz
train,2vx0
train,2vx1
train,2w0p
train,2w10
train,2w12
train,2w16
train,2w3l
train,2w3o
train,2w4i
train,2w54
train,2w68
train,2w6c
train,2w6n
train,2w6o
train,2w6p
train,2w6t
train,2w70
train,2w76
train,2w77
train,2w85
train,2w8f
train,2w9r
train,2wa8
train,2wcg
train,2wd3
train,2wey
train,2wfj
train,2wgi
train,2wig
train,2wij
train,2wik
train,2wj1
train,2wj2
train,2wk2
train,2wnl
train,2wo9
train,2woa
train,2wot
train,2wtw
train,2wtx
train,2wu7
train,2wva
train,2ww0
train,2wwj
train,2wxg
train,2wxh
train,2wxi
train,2wxj
train,2wxk
train,2wxl
train,2wxm
train,2wxn
train,2wxq
train,2wyn
train,2x24
train,2x38
train,2x4s
train,2x4t
train,2x6f
train,2x6j
train,2x6k
train,2x6w
train,2x7c
train,2x7d
train,2x7s
train,2xaf
train,2xag
train,2xah
train,2xaj
train,2xaq
train,2xas
train,2xb9
train,2xcg
train,2xcn
train,2xgm
train,2xhr
train,2xiz
train,2xk1
train,2xml
train,2xni
train,2xoi
train,2xow
train,2xu1
train,2xu4
train,2xu5
train,2xuf
train,2xui
train,2xup
train,2xvn
train,2xx2
train,2xxw
train,2xxy
train,2xy9
train,2xzg
train,2y1o
train,2y2h
train,2y2k
train,2y2n
train,2y2p
train,2y54
train,2y57
train,2y58
train,2y67
train,2y6s
train,2y7k
train,2y8o
train,2y8q
train,2y9g
train,2ybp
train,2ybs
train,2ybt
train,2yc0
train,2yc3
train,2ycm
train,2yde
train,2ydo
train,2yiu
train,2ynn
train,2yoj
train,2z4r
train,2z4z
train,2z50
train,2z7g
train,2z8e
train,2z92
train,2zas
