fraction,feature,level,subset_count,subset_fraction,full_count,full_fraction
10,component_size_bin,Q1,13,0.1625,131,0.16354556803995007
10,component_size_bin,Q2,21,0.2625,211,0.2634207240948814
10,component_size_bin,Q3,23,0.2875,234,0.29213483146067415
10,component_size_bin,Q4,23,0.2875,225,0.2808988764044944
10,ligand_heavy_atom_bin,Q1,18,0.225,180,0.2247191011235955
10,ligand_heavy_atom_bin,Q2,20,0.25,194,0.2421972534332085
10,ligand_heavy_atom_bin,Q3,21,0.2625,214,0.2671660424469413
10,ligand_heavy_atom_bin,Q4,21,0.2625,213,0.26591760299625467
10,pocket_size_bin,Q1,18,0.225,181,0.22596754057428214
10,pocket_size_bin,Q2,20,0.25,199,0.2484394506866417
10,pocket_size_bin,Q3,22,0.275,216,0.2696629213483146
10,pocket_size_bin,Q4,20,0.25,205,0.25593008739076156
10,receptor_type,DNA,34,0.425,338,0.42197253433208487
10,receptor_type,RNA,45,0.5625,451,0.5630461922596754
10,receptor_type,mixed,1,0.0125,12,0.0149812734082397
10,rotatable_bond_bin,Q1,12,0.15,116,0.14481897627965043
10,rotatable_bond_bin,Q2,21,0.2625,209,0.26092384519350814
10,rotatable_bond_bin,Q3,23,0.2875,232,0.28963795255930086
10,rotatable_bond_bin,Q4,24,0.3,244,0.3046192259675406
10,tier,eligible_core,71,0.8875,713,0.8901373283395755
10,tier,eligible_diversity,9,0.1125,88,0.10986267166042447
25,component_size_bin,Q1,33,0.165,131,0.16354556803995007
25,component_size_bin,Q2,53,0.265,211,0.2634207240948814
25,component_size_bin,Q3,58,0.29,234,0.29213483146067415
25,component_size_bin,Q4,56,0.28,225,0.2808988764044944
25,ligand_heavy_atom_bin,Q1,45,0.225,180,0.2247191011235955
25,ligand_heavy_atom_bin,Q2,49,0.245,194,0.2421972534332085
25,ligand_heavy_atom_bin,Q3,53,0.265,214,0.2671660424469413
25,ligand_heavy_atom_bin,Q4,53,0.265,213,0.26591760299625467
25,pocket_size_bin,Q1,45,0.225,181,0.22596754057428214
25,pocket_size_bin,Q2,50,0.25,199,0.2484394506866417
25,pocket_size_bin,Q3,54,0.27,216,0.2696629213483146
25,pocket_size_bin,Q4,51,0.255,205,0.25593008739076156
25,receptor_type,DNA,84,0.42,338,0.42197253433208487
25,receptor_type,RNA,113,0.565,451,0.5630461922596754
25,receptor_type,mixed,3,0.015,12,0.0149812734082397
25,rotatable_bond_bin,Q1,29,0.145,116,0.14481897627965043
25,rotatable_bond_bin,Q2,52,0.26,209,0.26092384519350814
25,rotatable_bond_bin,Q3,58,0.29,232,0.28963795255930086
25,rotatable_bond_bin,Q4,61,0.305,244,0.3046192259675406
25,tier,eligible_core,178,0.89,713,0.8901373283395755
25,tier,eligible_diversity,22,0.11,88,0.10986267166042447
50,component_size_bin,Q1,66,0.165,131,0.16354556803995007
50,component_size_bin,Q2,105,0.2625,211,0.2634207240948814
50,component_size_bin,Q3,117,0.2925,234,0.29213483146067415
50,component_size_bin,Q4,112,0.28,225,0.2808988764044944
50,ligand_heavy_atom_bin,Q1,90,0.225,180,0.2247191011235955
50,ligand_heavy_atom_bin,Q2,97,0.2425,194,0.2421972534332085
50,ligand_heavy_atom_bin,Q3,107,0.2675,214,0.2671660424469413
50,ligand_heavy_atom_bin,Q4,106,0.265,213,0.26591760299625467
50,pocket_size_bin,Q1,91,0.2275,181,0.22596754057428214
50,pocket_size_bin,Q2,99,0.2475,199,0.2484394506866417
50,pocket_size_bin,Q3,108,0.27,216,0.2696629213483146
50,pocket_size_bin,Q4,102,0.255,205,0.25593008739076156
50,receptor_type,DNA,169,0.4225,338,0.42197253433208487
