receptor_sequence_sha256,canonical_na_residue_count,na_chain_count,trainval_complex_count,trainval_complex_ids,development_complex_count,development_complex_ids,jiang_component_row_count,jiang_components,jiang_complex_ids
009a3155c2070b7e2bc7fe4b01041587c3baab2a9836a546f93403572b2f4f52,29,1,2,2l8h;1uui_p12,3,1arj;1uts;1uud,8,chen;philips;ruiz;yan,1arj_arg;1uts_p13;1uud_p14;1uts_p13;1uud_p14;1uud_p14;1uts_p13;1uud_p14
02c3cbf226c742175ba836f782092fe858d4984ed364706f0cf4ef97b5532975,58,4,1,2a04_nmy_i4,1,1zz5,1,chen,1zz5_cny
09cfb981abad6cdaef9f43b6986d2955096744954998871f0f2c6428ab2cada4,43,2,2,2fqn;2o3y_spm,2,2o3v;2o3w,4,chen;ruiz;yan,2o3w_par;2o3v_n33;2o3v_n33;2o3w_par
58db505f184a91565608632ad7b68ea62e1f5e8fa94f6e6568b1c65ec33845e2,161,1,2,3d0u_lys;4erl,1,4erj,1,yan,4erj
62323c120ef4e6e1100946fe9da2679696c92f3a209dd9fccf3d595860b87403,24,2,71,129d_ht1;166d_pet;1d30_dap;1d64_pnt;1eel_d24;1fmq_d34;1ftd_e97;1lex_ilt;1ley_ilt;1m6f_cgq;1prp_tnt;1vzk_d1b;1zph_sn8;227d_bgf;289d_d19;298d_d18;2b0k_d2a;2b3e_dbn;2dbe_brn;2gvr_brn;2i2i_mbc;2i5a_m1b;302d_ro2;303d_ro2;311d_ht2;328d_sn7;360d_bpf;3oie_881;3u05_804;3u08_d63;3u0u_d83;447d_bbz;4agz_d98;4u8a_3ez;4u8b_3f2;4u8c_3f6;6ijw_qcy;7ku4_d1b;1d86;1d46;127d;1d45;8bna;8c63;443d;455d;445d;1dnh;1d44;8ed6;1fq2;428d;449d;355d;8edb;8ec1;1d43;1qxb;109d_ibb;1zpi_sn9;1fms_d35;2dyw_a71_g3;2gyx_rka;2nlm_db9;442d_ib;444d_ib;448d_ib;5t3l_sey_d2;7kwk_x8v;8c64_a6r;8t4n_y5u,2,1qv4;1qv8,2,yan,1qv8_bbz;1qv4_mbb
74587d4e5f92cb8e93340faef67356fa1592fa31850000046a6554e92de644d8,33,1,3,3gca_pq0;6vui_prf;7e9i_j0c,1,3q50,1,yan,3q50_prf
7f6472dc4f0dc3a6d2a6713e89cffc047deb661e197794e0d457df6ba17f25ad,94,1,1,3gx6_sam,3,3gx2;3gx3;3gx5,4,chen;philips,3gx2_sfg;3gx2_sfg;3gx3_sah;3gx5_sam
8a39f41d423e18b52f5d41f0f9651ccd49dc4feea6b6e805cc393ce37c222311,67,1,6,6ubu_gun;6uc7_q44;6uc9_cmg;5c7u;3g4m_nco_n11;6uc8_ang,5,1u8d_hpa;3fo6;3gao;3ger;4fe5,6,chen;ruiz;yan,3ger_6gu;3fo6_6go;3gao_xan;4fe5_hpa;1u8d_hpa;1u8d_hpa
906f4adcd19f023fc3637e68c9e0a9a2c6db48ec470dc65696e49c14872104ea,28,4,3,2ms6_que;6kxz_dm6;6kn4,2,1nzm;2jwq,2,yan,1nzm_lg1;2jwq_mm0
974f51da94729865209d77ea0328a5f6d9dcd2d165363cd1e56bbc9c795d2214,89,1,6,4lvw_7dg;4lvx_h4b;4lvy_lya;4lvz_6ap;4lw0_ade;6q57_t0a,1,4lvv,1,yan,4lvv_ffo
