kind	value	complex_id_a	complex_id_b
canonical_selected_sequence_sha256	003390e3ae5f1faf29ff2f4ab599c31df87497fb405a5f43a31da01cef599def	6LAS__SAM__laF__aaA__rs101__m1__alt.	6LAS__SAM__laG__aaB__rs101__m1__alt.
canonical_selected_sequence_sha256	003390e3ae5f1faf29ff2f4ab599c31df87497fb405a5f43a31da01cef599def	6LAS__SAM__laF__aaA__rs101__m1__alt.	6LAU__SAH__laF__aaA__rs101__m1__alt.
canonical_selected_sequence_sha256	003390e3ae5f1faf29ff2f4ab599c31df87497fb405a5f43a31da01cef599def	6LAS__SAM__laF__aaA__rs101__m1__alt.	6LAU__SAH__laI__aaB__rs101__m1__alt.
canonical_selected_sequence_sha256	003390e3ae5f1faf29ff2f4ab599c31df87497fb405a5f43a31da01cef599def	6LAS__SAM__laF__aaA__rs101__m1__alt.	6LAZ__E7X__laG__aaA__rs102__m1__alt.
canonical_selected_sequence_sha256	003390e3ae5f1faf29ff2f4ab599c31df87497fb405a5f43a31da01cef599def	6LAS__SAM__laF__aaA__rs101__m1__alt.	6LAZ__E7X__laH__aaB__rs101__m1__alt.
canonical_selected_sequence_sha256	003ae1af93e83dbf48fe7a5d4c8aab0b1e8b8421058810927fa010ebc7d6fa2e	8TWH__LG1__laQ__aaB__rs103__m1__alt.	8TWH__LG1__laU__aaC__rs104__m1__alt.
canonical_selected_sequence_sha256	004ffe9d552326dbf77ab08c14d129eca02beca9c592b108138cdccfd5c9031d	5DDP__GLN__laE__aaA__rs101__m1__alt.	5DDQ__GLN__laE__aaA__rs101__m1__alt.
canonical_selected_sequence_sha256	004ffe9d552326dbf77ab08c14d129eca02beca9c592b108138cdccfd5c9031d	5DDP__GLN__laE__aaA__rs101__m1__alt.	5DDR__GLN__laE__aaA__rs101__m1__alt.
canonical_selected_sequence_sha256	0220156db9de808ac264827acbcfdfc3e5f57740b7ea6ac6be5e513af0363b16	7D81__NAD__laE__aaA__rs104__m1__alt.	7D82__NAD__laI__aaA__rs108__m1__alt.
canonical_selected_sequence_sha256	03e1021c622cb6cd80405507842cf68c80bc4d169dbb0144a7db3c4f19a0e65b	9HRG__GTP__laS__aaC__rs103__m1__alt.	9HRG__GTP__laY__aaD__rs103__m1__alt.
canonical_selected_sequence_sha256	03f5f9df0c6c8386fb85e48cd0f0232307753a2a3fd359b76f1c341d79420ef7	5NDV__PAR__laTJA__aa3__rs201__m1__alt.	5OBM__LLL__laJSB__aa7__rs231__m1__alt.
canonical_selected_sequence_sha256	03f5f9df0c6c8386fb85e48cd0f0232307753a2a3fd359b76f1c341d79420ef7	5NDV__PAR__laTJA__aa3__rs201__m1__alt.	5OBM__LLL__laLSB__aa7__rs233__m1__alt.
canonical_selected_sequence_sha256	066fa71bdd77c94a9c3571010fdb019793906be00199edb98d99c6c07916f60d	6CB3__GTP__laAB__aaB__rs221__m1__alt.	6CB3__GTP__laU__aaA__rs219__m1__alt.
canonical_selected_sequence_sha256	06ff354c0870f6929ca47639ec63b168ccf0262faaa1205317e641e3b1a1a21c	4Y1J__GTP__laC__aaA__rs201__m1__alt.	4Y1J__GTP__laYA__aaB__rs202__m1__alt.
canonical_selected_sequence_sha256	07908b2c59bc945884b8abee968b9ed3e8f5f33b49aae10d6efe22607ef1eff2	1D58__DM6__laB__aaA__rs7__m1__alt.	1D67__DM5__laB__aaA__rs7__m1__alt.
canonical_selected_sequence_sha256	07908b2c59bc945884b8abee968b9ed3e8f5f33b49aae10d6efe22607ef1eff2	1D58__DM6__laB__aaA__rs7__m1__alt.	1VTI__DM1__laB__aaA__rs7__m1__alt.
canonical_selected_sequence_sha256	0836b7fb1654d44b0d2ababff3d15fe54129fe0c27ee3065a04115173159cce9	4TS0__38E__laR__aaY__rs206__m1__alt.	4TS2__38E__laH__aaY__rs204__m1__alt.
canonical_selected_sequence_sha256	0c18f0750b48a6e6facdd27a7d8dd49b62624313528adfb8a9cd192ffa9f2b4d	6E8S__EKJ__laC__aaA__rs101__m1__alt.	6E8S__EKJ__laG__aaB__rs101__m1__alt.
canonical_selected_sequence_sha256	0c42b5e033599d470b1bf580d2c74f13541033ce31d43f5c35377d42229aba30	6TB7__AMP__laB__aaA__rs101__m1__alt.	6TF1__ADP__laJ__aaA__rs109__m1__alt.
canonical_selected_sequence_sha256	0c42b5e033599d470b1bf580d2c74f13541033ce31d43f5c35377d42229aba30	6TB7__AMP__laB__aaA__rs101__m1__alt.	6TF2__ATP__laJ__aaA__rs109__m1__alt.
canonical_selected_sequence_sha256	0c42b5e033599d470b1bf580d2c74f13541033ce31d43f5c35377d42229aba30	6TB7__AMP__laB__aaA__rs101__m1__alt.	6TFE__N6E__laR__aaA__rs117__m1__alt.
canonical_selected_sequence_sha256	0c42b5e033599d470b1bf580d2c74f13541033ce31d43f5c35377d42229aba30	6TB7__AMP__laB__aaA__rs101__m1__alt.	6TFG__PPS__laM__aaA__rs112__m1__alt.
canonical_selected_sequence_sha256	0f3b1de6b9a1a7195b08da9af55e6290304f954e6852197616160b359d0ee704	4Y1M__GTP__laGB__aaA__rs208__m1__alt.	4Y1M__GTP__laN__aaB__rs212__m1__alt.
canonical_selected_sequence_sha256	14f354481b4c0a7411134131b27aa1688c72cc8ccebf82193e0320113eea8749	3U4M__MLI__laO__aaB__rs2202__m1__alt.	3U4M__MLI__laP__aaB__rs2203__m1__alt.
canonical_selected_sequence_sha256	14f354481b4c0a7411134131b27aa1688c72cc8ccebf82193e0320113eea8749	3U4M__MLI__laO__aaB__rs2202__m1__alt.	3U4M__MLI__laQ__aaB__rs2204__m1__alt.
canonical_selected_sequence_sha256	14f354481b4c0a7411134131b27aa1688c72cc8ccebf82193e0320113eea8749	3U4M__MLI__laO__aaB__rs2202__m1__alt.	3U4M__MLI__laR__aaB__rs2205__m1__alt.
canonical_selected_sequence_sha256	14f354481b4c0a7411134131b27aa1688c72cc8ccebf82193e0320113eea8749	3U4M__MLI__laO__aaB__rs2202__m1__alt.	3U56__MLI__laD__aaB__rs2201__m1__alt.
canonical_selected_sequence_sha256	14f354481b4c0a7411134131b27aa1688c72cc8ccebf82193e0320113eea8749	3U4M__MLI__laO__aaB__rs2202__m1__alt.	5NPM__MLI__laC__aaB__rs101__m1__alt.
canonical_selected_sequence_sha256	1658e749d2ea067b6918b6eaeed6444ad4c2aaa1ea688f6de45e90e2eecab298	9BUN__FH8__laM__aaB__rs105__m1__alt.	9BUN__FH8__laW__aaD__rs104__m1__alt.
canonical_selected_sequence_sha256	167c90b55b6d75d54ccc1eed539851fefe1aaf688b64df7a78115855b31ace39	9KG8__BER__laB__aaX__rs101__m1__alt.	9KG8__BER__laC__aaX__rs102__m1__alt.
canonical_selected_sequence_sha256	182467f97ffb80933df6ec625e43a8b8020bb65a03bf15b0dc12627407df1df2	7RIM__5N0__laN__aaT__rs101__m1__alt.	7RIP__5N0__laO__aaT__rs101__m1__alt.
canonical_selected_sequence_sha256	182467f97ffb80933df6ec625e43a8b8020bb65a03bf15b0dc12627407df1df2	7RIM__5N0__laN__aaT__rs101__m1__alt.	7RIX__5N0__laO__aaT__rs101__m1__alt.
canonical_selected_sequence_sha256	182467f97ffb80933df6ec625e43a8b8020bb65a03bf15b0dc12627407df1df2	7RIM__5N0__laN__aaT__rs101__m1__alt.	7RIY__5N0__laO__aaT__rs101__m1__alt.
canonical_selected_sequence_sha256	18867ef8eb52d29464e5af19f915f9516a95e7b1c585fdf437f77bcea9714cf3	1D54__DM6__laB__aaA__rs7__m1__alt.	1IMR__DM7__laB__aaA__rs7__m1__alt.
canonical_selected_sequence_sha256	18867ef8eb52d29464e5af19f915f9516a95e7b1c585fdf437f77bcea9714cf3	1D54__DM6__laB__aaA__rs7__m1__alt.	1VTH__DM1__laB__aaA__rs7__m1__alt.
canonical_selected_sequence_sha256	1c048793c7486db2999bc8ca4bcedb226fc8748c54a4bf32e3fedb41bfd89e60	3CDM__NII__laD__aaA__rs27__m1__alt.	3CDM__NII__laH__aaB__rs27__m1__alt.
canonical_selected_sequence_sha256	1c048793c7486db2999bc8ca4bcedb226fc8748c54a4bf32e3fedb41bfd89e60	3CDM__NII__laD__aaA__rs27__m1__alt.	3CDM__NII__laI__aaB__rs28__m1__alt.
canonical_selected_sequence_sha256	1c048793c7486db2999bc8ca4bcedb226fc8748c54a4bf32e3fedb41bfd89e60	3CDM__NII__laD__aaA__rs27__m1__alt.	3CDM__NII__laJ__aaB__rs29__m1__alt.
canonical_selected_sequence_sha256	1c6ac0aa6ba58674a2a4339a197cc8e9c68d2a9543858b773cecb27a7a0b7ba9	207D__CRH__laL__aaA__rs13__m1__alt.	207D__CRH__laM__aaA__rs27__m1__alt.
canonical_selected_sequence_sha256	1c6ac0aa6ba58674a2a4339a197cc8e9c68d2a9543858b773cecb27a7a0b7ba9	207D__CRH__laL__aaA__rs13__m1__alt.	207D__CRH__laO__aaB__rs17__m1__alt.
canonical_selected_sequence_sha256	1c6ac0aa6ba58674a2a4339a197cc8e9c68d2a9543858b773cecb27a7a0b7ba9	207D__CRH__laL__aaA__rs13__m1__alt.	207D__CRH__laP__aaB__rs23__m1__alt.
