complex_id	tier	parent_pdb	weight
107D__DUO__laC__aaB__rs15__m1__alt.	eligible_core	107D	1.4697247706422101
108D__TOT__laC__aaA__rs9__m1__alt.	eligible_core	108D	1.4697247706422101
110D__DM1__laB__aaA__rs7__m1__alt.	eligible_diversity	110D	2.3217391304347954
11YY__MLA__laI__aaB__rs801__m1__alt.	eligible_diversity	11YY	2.3217391304347954
12CI__LDP__laN__aaA__rs112__m1__alt.	eligible_core	12CI	1.4697247706422101
151D__DM2__laB__aaA__rs7__m1__alt.	eligible_diversity	151D	2.3217391304347954
152D__DM1__laB__aaA__rs7__m1__alt.	eligible_diversity	152D	2.3217391304347954
198D__DM5__laE__aaA__rs25__m1__alt.	eligible_core	198D	0.36743119266055252
198D__DM5__laG__aaB__rs26__m1__alt.	eligible_core	198D	0.36743119266055252
198D__DM5__laH__aaD__rs27__m1__alt.	eligible_core	198D	0.36743119266055252
198D__DM5__laI__aaD__rs28__m1__alt.	eligible_core	198D	0.36743119266055252
1AL9__BDA__laC__aaA__rs17__m1__alt.	eligible_core	1AL9	1.4697247706422101
1AMD__BNR__laC__aaB__rs13__m1__alt.	eligible_core	1AMD	1.4697247706422101
1AW4__AMP__laB__aaA__rs28__m1__alt.	eligible_core	1AW4	0.73486238532110504
1AW4__AMP__laC__aaA__rs29__m1__alt.	eligible_core	1AW4	0.73486238532110504
1CX3__NF__laC__aaA__rs7__m1__alt.	eligible_core	1CX3	1.4697247706422101
1D10__DM1__laB__aaA__rs7__m1__alt.	eligible_diversity	1D10	2.3217391304347954
1D11__DM1__laB__aaA__rs7__m1__alt.	eligible_diversity	1D11	2.3217391304347954
1D12__DM2__laB__aaA__rs7__m1__alt.	eligible_diversity	1D12	2.3217391304347954
1D15__DM6__laB__aaA__rs7__m1__alt.	eligible_diversity	1D15	2.3217391304347954
1D32__DIT__laC__aaA__rs9__m1__alt.	eligible_diversity	1D32	2.3217391304347954
1D36__MAR__laB__aaA__rs7__m1__alt.	eligible_diversity	1D36	2.3217391304347954
1D37__DM4__laB__aaA__rs7__m1__alt.	eligible_diversity	1D37	2.3217391304347954
1D38__DM5__laB__aaA__rs7__m1__alt.	eligible_diversity	1D38	2.3217391304347954
1DA0__DM1__laB__aaA__rs7__m1__alt.	eligible_diversity	1DA0	2.3217391304347954
