method	repeat	complex_name	native_rank	formal_rmsd_A	slot_status	source_rank_field	source_value_field
AutoDock-GPU	1	1am0	1	6.2087725	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1am0	2	5.90823241	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1am0	3	3.54650027	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1am0	4	3.58633664	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1am0	5	1.77875216	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1am0	6	4.24480337	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1am0	7	3.84126303	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1am0	8	6.3814238	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1am0	9	2.28739562	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1am0	10	4.18373795	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1arj	1	4.86751351	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1arj	2	4.77559735	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1arj	3	2.19045037	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1arj	4	3.40746813	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1arj	5	4.15741371	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1arj	6	2.98171691	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1arj	7	4.11927349	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1arj	8	2.75427745	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1arj	9	4.86708764	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1arj	10	4.95440882	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1byj	1	6.15728144	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1byj	2	5.78061314	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1byj	3	5.2155272	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1byj	4	8.04618207	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1byj	5	5.44660377	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1byj	6	6.47241664	FORMAL_VALID	recovery_score_rank	recovery_rmsd
