method	complex_id	benchmark_memberships	rankable_lt2	oracle_rmsd_A	complex_failure	valid_score_count	invalid_score_count	pose_score_failure_rate	top1_success	top3_success	top5_success	mrr_first_lt2	ndcg_at_10	top1_rmsd_A	regret_A
AutoDock-Vina-1.2.7	1am0	Chen;Philips;Ruiz	True	1.010526539676868	False	40	0	0.0	1	1	1	1.0	0.8829518585608053	1.2948814055147388	0.28435486583787095
AutoDock-Vina-1.2.7	1arj	Yan	True	1.4546008195263285	False	40	0	0.0	1	1	1	1.0	1.0	1.8247468347234728	0.3701460151971443
AutoDock-Vina-1.2.7	1byj	Chen;Philips;Ruiz;Yan	True	1.0964407310813447	False	40	0	0.0	0	1	1	0.3333333333333333	0.5816998447187435	2.196849387190665	1.1004086561093205
AutoDock-Vina-1.2.7	1cvx	Yan	True	1.469550698484631	False	38	2	0.05	1	1	1	1.0	0.6586122040444102	1.9592853617986161	0.4897346633139852
AutoDock-Vina-1.2.7	1cvy	Yan	True	1.451309373224231	False	40	0	0.0	0	1	1	0.5	0.732466905023767	2.3654758238891933	0.9141664506649623
AutoDock-Vina-1.2.7	1db6	Yan	True	1.5406292602375178	False	40	0	0.0	0	0	1	0.25	0.5416435332520587	4.997107939682045	3.456478679444527
AutoDock-Vina-1.2.7	1eht	Chen;Philips;Ruiz	True	0.5976845675669501	False	40	0	0.0	0	0	0	0.125	0.5061059687949523	3.3008361110948377	2.7031515435278877
AutoDock-Vina-1.2.7	1ei2	Chen;Philips;Ruiz	False	2.8688199810740174	False	40	0	0.0	0	0	0	0.0	0.0	7.886029948103226	5.017209967029208
AutoDock-Vina-1.2.7	1f1t	Chen;Philips;Ruiz;Yan	True	0.34244180527499796	False	40	0	0.0	1	1	1	1.0	1.0	0.34474238653946054	0.0023005812644625867
AutoDock-Vina-1.2.7	1f27	Chen;Philips;Ruiz;Yan	True	1.673565540993241	False	40	0	0.0	1	1	1	1.0	0.6806388542112021	1.6928392625261268	0.019273721532885757
AutoDock-Vina-1.2.7	1fjg	Philips	False	2.4929165963643007	False	40	0	0.0	0	0	0	0.0	0.31605147113946236	9.155597383061048	6.662680786696747
AutoDock-Vina-1.2.7	1fmn	Chen;Philips;Ruiz	True	1.043119549329581	False	40	0	0.0	0	1	1	0.5	0.5236914890649284	4.5944264643643615	3.5513069150347807
AutoDock-Vina-1.2.7	1fyp	Chen;Philips;Ruiz;Yan	False	2.1885660559349076	False	40	0	0.0	0	0	0	0.0	0.7117359827428672	3.0521798323571336	0.863613776422226
AutoDock-Vina-1.2.7	1hnw	Philips	False	2.570370683201645	False	40	0	0.0	0	0	0	0.0	1.0	2.6587435317269694	0.08837284852532434
AutoDock-Vina-1.2.7	1i9v	Yan	False	2.8191762082380087	False	40	0	0.0	0	0	0	0.0	0.7065443116025598	8.802601494147165	5.983425285909156
AutoDock-Vina-1.2.7	1j7t	Chen;Philips;Ruiz	False	2.1334765656529897	False	40	0	0.0	0	0	0	0.0	0.8182198962070146	2.1334765656529897	0.0
AutoDock-Vina-1.2.7	1koc	Chen;Philips;Ruiz	True	1.1731711742821962	False	40	0	0.0	1	1	1	1.0	0.9206500320722546	1.346806992173217	0.1736358178910209
AutoDock-Vina-1.2.7	1lc4	Chen;Ruiz	True	1.4541866945134658	False	40	0	0.0	0	0	0	0.14285714285714285	0.2756847368424429	8.363394022502169	6.909207327988703
AutoDock-Vina-1.2.7	1lvj	Chen;Ruiz	False	4.779434983524635	False	40	0	0.0	0	0	0	0.0	0.8611375561264454	5.002452253384464	0.22301726985982917
AutoDock-Vina-1.2.7	1mwl	Chen;Philips;Ruiz	True	1.496875025334643	True	0	40	1.0	0	0	0	0.0	0.0		
AutoDock-Vina-1.2.7	1nbk	Philips	True	1.1126695983085002	False	40	0	0.0	1	1	1	1.0	0.9305687780632228	1.8212121929271905	0.7085425946186903
AutoDock-Vina-1.2.7	1nem	Chen;Philips;Ruiz	False	2.0908646676845035	False	40	0	0.0	0	0	0	0.0	0.8705535336325771	2.280643204386492	0.18977853670198863
AutoDock-Vina-1.2.7	1nta	Ruiz	True	1.7214690151147072	False	40	0	0.0	0	1	1	0.5	0.7822156152243191	2.749619791352979	1.028150776238272
AutoDock-Vina-1.2.7	1ntb	Chen;Ruiz	True	1.9759228848186359	False	40	0	0.0	0	0	0	0.16666666666666666	0.708278892052903	3.801473130412735	1.825550245594099
AutoDock-Vina-1.2.7	1nzm	Yan	True	0.48557503658430146	False	40	0	0.0	0	1	1	0.5	0.6756644692104793	4.555859443617636	4.070284407033334
AutoDock-Vina-1.2.7	1o15	Ruiz	True	0.43604654303446555	False	40	0	0.0	1	1	1	1.0	1.0	0.4994581879781949	0.06341164494372936
AutoDock-Vina-1.2.7	1o9m	Ruiz	False	2.03138917319478	False	40	0	0.0	0	0	0	0.0	0.48189984052515566	3.3623676529766615	1.3309784797818813
AutoDock-Vina-1.2.7	1p96	Yan	True	1.890397318772039	False	40	0	0.0	1	1	1	1.0	1.0	1.9810466526561155	0.09064933388407637
AutoDock-Vina-1.2.7	1pbr	Chen;Philips;Ruiz	True	1.705537819937774	False	40	0	0.0	1	1	1	1.0	0.6044704128960555	1.705537819937774	0.0
AutoDock-Vina-1.2.7	1q8n	Chen;Philips;Ruiz;Yan	True	0.7660217529548362	False	40	0	0.0	1	1	1	1.0	1.0	0.8491942745920982	0.08317252163726196
AutoDock-Vina-1.2.7	1qd3	Chen;Ruiz;Yan	True	1.928330414349357	False	39	1	0.025	0	0	1	0.2	0.72458922146244	2.9553087162080445	1.0269783018586875
AutoDock-Vina-1.2.7	1qv4	Yan	True	1.3794472552439256	False	40	0	0.0	1	1	1	1.0	0.6530488081313036	1.3794472552439256	0.0
AutoDock-Vina-1.2.7	1qv8	Yan	True	0.7532759854755212	False	40	0	0.0	1	1	1	1.0	0.7569021067152311	1.042726146581501	0.28945016110597976
AutoDock-Vina-1.2.7	1r4e	Yan	True	1.7529805623712096	False	40	0	0.0	1	1	1	1.0	0.856263342785531	1.7555299514712988	0.002549389100089172
AutoDock-Vina-1.2.7	1tob	Chen;Philips;Ruiz	False	2.2437617642449252	False	40	0	0.0	0	0	0	0.0	0.6947651160602988	7.649444306839387	5.4056825425944615
AutoDock-Vina-1.2.7	1u8d	Chen;Ruiz	False	2.8086222024330723	False	40	0	0.0	0	0	0	0.0	1.0	2.8932519857419954	0.08462978330892312
AutoDock-Vina-1.2.7	1uts	Philips;Ruiz;Yan	False	3.66591238602343	False	40	0	0.0	0	0	0	0.0	0.32972249306333595	9.788834150125677	6.122921764102246
AutoDock-Vina-1.2.7	1uud	Chen;Philips;Ruiz;Yan	False	4.799426024765878	False	40	0	0.0	0	0	0	0.0	0.13565197343244778	6.971576479735412	2.1721504549695343
AutoDock-Vina-1.2.7	1uui	Philips;Ruiz	True	1.2204785934036377	False	40	0	0.0	1	1	1	1.0	0.6348631599772252	1.9870711378701373	0.7665925444664996
AutoDock-Vina-1.2.7	1xbp	Philips	False	2.0432794041039264	False	40	0	0.0	0	0	0	0.0	0.6780696077759115	2.7028067939807023	0.659527389876776
