receptor_sequence_sha256,canonical_na_residue_count,na_chain_count,mdn_train_complex_count,mdn_train_complex_ids,development_complex_count,development_complex_ids,jiang_component_row_count,jiang_components,jiang_complex_ids
009a3155c2070b7e2bc7fe4b01041587c3baab2a9836a546f93403572b2f4f52,29,1,1,2l8h,3,1arj;1uts;1uud,8,chen;philips;ruiz;yan,1arj_arg;1uts_p13;1uud_p14;1uts_p13;1uud_p14;1uud_p14;1uts_p13;1uud_p14
09cfb981abad6cdaef9f43b6986d2955096744954998871f0f2c6428ab2cada4,43,2,1,2fqn,2,2o3v;2o3w,4,chen;ruiz;yan,2o3w_par;2o3v_n33;2o3v_n33;2o3w_par
58db505f184a91565608632ad7b68ea62e1f5e8fa94f6e6568b1c65ec33845e2,161,1,2,3d0u_lys;4erl,1,4erj,1,yan,4erj
62323c120ef4e6e1100946fe9da2679696c92f3a209dd9fccf3d595860b87403,24,2,94,129d_ht1;166d_pet;1d30_dap;1d64_pnt;1eel_d24;1fmq_d34;1ftd_e97;1lex_ilt;1ley_ilt;1m6f_cgq;1prp_tnt;1vzk_d1b;1zph_sn8;227d_bgf;289d_d19;298d_d18;2b0k_d2a;2b3e_dbn;2dbe_brn;2gvr_brn;2i2i_mbc;2i5a_m1b;302d_ro2;303d_ro2;311d_ht2;328d_sn7;360d_bpf;3oie_881;3u05_804;3u08_d63;3u0u_d83;447d_bbz;4agz_d98;4u8a_3ez;4u8b_3f2;4u8c_3f6;6ijw_qcy;7ku4_d1b;1d86;7ku4;1d64;360d;227d;298d;1d46;1ftd;1ley;2i2i;1vzk;127d;1eel;1lex;6ijw;4u8a;1d45;1fmq;8bna;8c63;302d;1m6f;311d;443d;4u8c;3oie;303d;2i5a;455d;445d;2b0k;3u05;1dnh;1d44;8ed6;4agz;1fq2;1d30;129d;1prp;428d;1zph;449d;355d;289d;2dbe;3u0u;166d;8edb;2gvr;328d;3u08;8ec1;4u8b;1d43;1qxb,2,1qv4;1qv8,2,yan,1qv8_bbz;1qv4_mbb
74587d4e5f92cb8e93340faef67356fa1592fa31850000046a6554e92de644d8,33,1,5,3gca_pq0;6vui_prf;7e9i_j0c;7e9i;3gca,1,3q50,1,yan,3q50_prf
7f6472dc4f0dc3a6d2a6713e89cffc047deb661e197794e0d457df6ba17f25ad,94,1,1,3gx6_sam,3,3gx2;3gx3;3gx5,4,chen;philips,3gx2_sfg;3gx2_sfg;3gx3_sah;3gx5_sam
8a39f41d423e18b52f5d41f0f9651ccd49dc4feea6b6e805cc393ce37c222311,67,1,6,6ubu_gun;6uc7_q44;6uc9_cmg;6uc9;6uc7;5c7u,5,1u8d_hpa;3fo6;3gao;3ger;4fe5,6,chen;ruiz;yan,3ger_6gu;3fo6_6go;3gao_xan;4fe5_hpa;1u8d_hpa;1u8d_hpa
906f4adcd19f023fc3637e68c9e0a9a2c6db48ec470dc65696e49c14872104ea,28,4,5,2ms6_que;6kxz_dm6;6kn4;2ms6;6kxz,2,1nzm;2jwq,2,yan,1nzm_lg1;2jwq_mm0
974f51da94729865209d77ea0328a5f6d9dcd2d165363cd1e56bbc9c795d2214,89,1,10,4lvw_7dg;4lvx_h4b;4lvy_lya;4lvz_6ap;4lw0_ade;6q57_t0a;4lvx;6q57;4lvy;4lvz,1,4lvv,1,yan,4lvv_ffo
9cc8a03e28fe3346ec00ae0cd78cd283a0982036c78efe136cc59b1d39146b8c,144,2,1,2h0z_g6p,2,2z74;2z75,2,chen,2z74_g6p;2z75_glp
bd15a8990071c1afed07e3b5fe759e2dce0f8f7422be2d0acab9a02c6b65ad39,173,1,10,3dig_slz;3dim_lys;3diq_hrg;3dix_lys;3diz_lys;3dj0_olz;3dj2_lys;3diq;3dj0;3dig,1,3dil,1,chen,3dil_lys
c0ec75bbe01c061fb603931fc971a8372bb1e2fba247e226ac399b12117b492e,42,2,2,4p20_akn;4p20,16,1j7t;1lc4;1mwl;1o9m;2be0;2bee;2esj;2et3;2et4;2et8;2f4s;2f4u;2g5q_akn;2o3x;2pwt;3s4p,35,chen;philips;ruiz;yan,2bee_js4;2be0_js5;2f4u_ab6;2o3x_n30;3s4p_js6;2f4u_ab6;2et8_xxx;2o3x_n30;1mwl_get;2g5q_akn;1j7t_par;2be0_js5;2pwt;2bee_js4;1j7t_par;2et8_xxx;1lc4_toy;1mwl_get;2be0_js5;2g5q_akn;2pwt;1j7t_par;1lc4_toy;1mwl_get;1o9m_42b;2be0_js5;2bee_js4;2esj_liv;2et3_lll;2et4_nmy;2et8_xxx;2f4s_xxx;2f4u_ab6;2g5q_akn;2o3x_n30
c52c3e56976353df5343f4a1047a3adf2c63fdb016f4e0819663a4a0d89732ce,100,1,2,3suh_ffo;3suh,1,3sux,1,philips,3sux_thf
d448494240061fc2b05e72a80381f1495b5c571699dae61fb6c5e07660afdbd1,154,2,6,2cky_tpp;3d2g_tpp;3d2v_pyi;3d2v;2cky;3d2g,1,3d2x,1,philips,3d2x_d2x
e02c6be2b8acae2ae3540ac9c9a8a3cb6f1b34a788cc637f647d1f0582f7cbe6,132,2,2,3slq_5gp;3slq,1,3slm,1,yan,3slm_dgp
e2681f8ff00f08713d8dc473f792282a631c307063bd760e5ab76eecf68bfac8,107,1,1,3f2t_fmn,1,3f2q,1,chen,3f2q_fmn
e795ec582b90a335a21b71d3f211bfae6be13dfb19d2b9f53b6b9393ac5c4f1e,156,2,4,4nya_2qb;7tzr_kwu;7tzr;4nya,1,2gdi,2,chen;philips,2gdi;2gdi
e92721c2e4378ac5f329e5d29af524a5bc5d6e19bd7a4c237382743ecfac5a7a,52,1,3,3e5e_sah;3e5f_eem;3e5f,1,3e5c,1,yan,3e5c_sam
