split,source_subset,complex_id,pdb_id,na_type,experimental_method,resolution_angstrom,deposition_date,receptor_sequence_sha256,na_chain_count,canonical_na_residue_count
transfer_trainval,original_v6,102d_tnt,102d,dna,,,,91149b60294fa58074ba364fcf16564518f7b9e941eb505036d5d4a32d6b5480,2,24
transfer_trainval,original_v6,108d_tot,108d,dna,,,,f9cde9a9809629d7a586a3234aed16c8778171813455055103140433b71cac49,2,16
transfer_trainval,original_v6,110d_dm1,110d,dna,,,,9bd431e55b7822806c9c64174730248dd78be86c9cb30171f3b154d5fb0cba87,1,6
transfer_trainval,original_v6,129d_ht1,129d,dna,,,,62323c120ef4e6e1100946fe9da2679696c92f3a209dd9fccf3d595860b87403,2,24
transfer_trainval,original_v6,130d_ht1,130d,dna,,,,55ab48c34a03fc0f2f049d75a3a7317643f5e475da3f9e2fd2b29be04d516bd2,2,22
transfer_trainval,original_v6,144d_sn6,144d,dna,,,,55ab48c34a03fc0f2f049d75a3a7317643f5e475da3f9e2fd2b29be04d516bd2,2,22
transfer_trainval,original_v6,151d_dm2,151d,dna,,,,1ee126d46c8b88095cb5028bbf1b4add0b10dc90e96dbe35f112904172c86243,1,6
transfer_trainval,original_v6,152d_dm1,152d,dna,,,,1ee126d46c8b88095cb5028bbf1b4add0b10dc90e96dbe35f112904172c86243,1,6
transfer_trainval,original_v6,154d_fld,154d,dna,,,,945259d8c26f7194035da8127ddabfe5a74351b401c6c85b8d0707db123d72d8,2,6
transfer_trainval,original_v6,159d_dmy,159d,dna,,,,90b4853e06e722c63b4270463cf558684d7a1e77605d3ad36489d6146e42ab87,1,4
transfer_trainval,original_v6,166d_pet,166d,dna,,,,62323c120ef4e6e1100946fe9da2679696c92f3a209dd9fccf3d595860b87403,2,24
transfer_trainval,original_v6,182d_ngm,182d,dna,,,,522a3d2a073c50ef2e71e81b6a4a1b5a0a5410be47c3a1981f527a30a31964e1,2,12
transfer_trainval,original_v6,1agl_bda,1agl,dna,,,,1ee126d46c8b88095cb5028bbf1b4add0b10dc90e96dbe35f112904172c86243,1,6
transfer_trainval,original_v6,1aw4_amp,1aw4,dna,,,,733c18d5fc1e444109e06af86dd74df6b5956f188063063db9cdfa03012226a1,1,27
transfer_trainval,original_v6,1c9z_232,1c9z,dna,,,,6f8927cd06acb8b7f5440001e785195a963b454bd93ae5d13bc21dad866de82e,1,6
transfer_trainval,original_v6,1d10_dm1,1d10,dna,,,,1ee126d46c8b88095cb5028bbf1b4add0b10dc90e96dbe35f112904172c86243,1,6
transfer_trainval,original_v6,1d11_dm1,1d11,dna,,,,6f8927cd06acb8b7f5440001e785195a963b454bd93ae5d13bc21dad866de82e,1,6
transfer_trainval,original_v6,1d12_dm2,1d12,dna,,,,1ee126d46c8b88095cb5028bbf1b4add0b10dc90e96dbe35f112904172c86243,1,6
transfer_trainval,original_v6,1d14_dm3,1d14,dna,,,,b9f3c156f3c07747acbba590e162cf92d0c18a9fcd83173d810670ab65905690,1,5
transfer_trainval,original_v6,1d15_dm6,1d15,dna,,,,1ee126d46c8b88095cb5028bbf1b4add0b10dc90e96dbe35f112904172c86243,1,6
transfer_trainval,original_v6,1d17_ngm,1d17,dna,,,,eb41c9ab4ad2234607295fca4fcb02555dcb5b29ec78e45dca1e2aae68fb9242,1,4
transfer_trainval,original_v6,1d30_dap,1d30,dna,,,,62323c120ef4e6e1100946fe9da2679696c92f3a209dd9fccf3d595860b87403,2,24
transfer_trainval,original_v6,1d32_dit,1d32,dna,,,,baa00c52e4a266e0c90a5ae89669e6e3037bd0df52d5f746fc8a6f8be2f59ca2,2,8
transfer_trainval,original_v6,1d37_dm4,1d37,dna,,,,1ee126d46c8b88095cb5028bbf1b4add0b10dc90e96dbe35f112904172c86243,1,6
transfer_trainval,original_v6,1d54_dm6,1d54,dna,,,,18867ef8eb52d29464e5af19f915f9516a95e7b1c585fdf437f77bcea9714cf3,1,6
transfer_trainval,original_v6,1d58_dm6,1d58,dna,,,,07908b2c59bc945884b8abee968b9ed3e8f5f33b49aae10d6efe22607ef1eff2,1,6
transfer_trainval,original_v6,1d63_brn,1d63,dna,,,,91149b60294fa58074ba364fcf16564518f7b9e941eb505036d5d4a32d6b5480,2,24
transfer_trainval,original_v6,1d64_pnt,1d64,dna,,,,62323c120ef4e6e1100946fe9da2679696c92f3a209dd9fccf3d595860b87403,2,24
transfer_trainval,original_v6,1da0_dm1,1da0,dna,,,,1ee126d46c8b88095cb5028bbf1b4add0b10dc90e96dbe35f112904172c86243,1,6
